Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
TCGA-2J-AAB1-01A-11D-A40W-08	3	4	3	0	15	5	27	0	1	2
TCGA-2J-AAB4-01A-12D-A40W-08	0	0	3	5	8	8	0	6	3	0
TCGA-2J-AAB6-01A-11D-A40W-08	2	0	1	0	0	35	22	0	0	2
TCGA-2J-AAB8-01A-12D-A40W-08	0	8	0	11	9	8	0	11	0	3
TCGA-2J-AAB9-01A-11D-A40W-08	3	2	0	0	6	2	0	0	5	1
TCGA-2J-AABA-01A-21D-A40W-08	0	2	4	0	0	7	2	10	0	0
TCGA-2J-AABE-01A-12D-A40W-08	0	13	0	8	0	6	0	2	7	1
TCGA-2J-AABF-01A-31D-A40W-08	1	2	0	4	30	2	0	9	0	2
TCGA-2J-AABH-01A-21D-A40W-08	0	0	8	0	11	0	7	19	0	0
TCGA-2J-AABI-01A-12D-A40W-08	1	0	14	13	2	0	0	3	0	3
TCGA-2J-AABK-01A-31D-A40W-08	0	8	3	0	12	0	0	0	3	11
TCGA-2J-AABO-01A-21D-A40W-08	7	19	19	7	14	0	0	0	0	0
TCGA-2J-AABP-01A-11D-A40W-08	0	0	0	37	16	23	5	0	30	1
TCGA-2J-AABR-01A-11D-A40W-08	0	0	0	0	0	1	0	0	5	0
TCGA-2J-AABT-01A-11D-A40W-08	2	0	0	0	0	13	0	6	0	0
TCGA-2J-AABV-01A-12D-A40W-08	0	0	0	1	2	0	3	0	1	0
TCGA-2L-AAQA-01A-21D-A38G-08	0	6	24	0	0	12	15	2	0	0
TCGA-2L-AAQE-01A-11D-A397-08	0	0	0	11	17	4	0	0	4	0
TCGA-2L-AAQI-01A-12D-A397-08	0	5	0	19	11	0	0	0	0	0
TCGA-2L-AAQJ-01A-12D-A397-08	9	1	2	0	14	59	0	0	0	1
TCGA-2L-AAQL-01A-11D-A38G-08	4	14	1	0	31	0	0	4	6	1
TCGA-2L-AAQM-01A-11D-A397-08	0	0	0	7	0	0	6	0	17	0
TCGA-3A-A9I5-01A-11D-A38G-08	4	0	15	0	0	4	1	0	2	0
TCGA-3A-A9I7-01A-21D-A38G-08	3	0	0	0	0	5	6	0	0	0
TCGA-3A-A9I9-01A-11D-A38G-08	0	0	22	7	3	0	0	0	25	48
TCGA-3A-A9IB-01A-21D-A397-08	0	7	12	1	0	0	3	0	0	16
TCGA-3A-A9IC-01A-11D-A38G-08	0	0	0	20	0	8	6	0	2	0
TCGA-3A-A9IH-01A-12D-A397-08	1	5	17	0	18	2	0	0	6	3
TCGA-3A-A9IJ-01A-11D-A397-08	0	6	0	0	0	0	10	3	0	0
TCGA-3A-A9IL-01A-11D-A38G-08	0	0	0	3	0	0	0	0	2	0
TCGA-3A-A9IN-01A-11D-A397-08	0	2	0	0	3	5	0	1	7	7
TCGA-3A-A9IO-01A-11D-A38G-08	1	0	0	7	0	0	0	0	0	0
TCGA-3A-A9IR-01A-11D-A38G-08	0	11	5	0	1	0	0	0	0	0
TCGA-3A-A9IS-01A-21D-A397-08	0	0	3	0	0	0	0	0	21	8
TCGA-3A-A9IU-01A-11D-A397-08	0	0	7	10	7	0	2	0	8	1
TCGA-3A-A9IV-01A-11D-A40W-08	0	0	0	11	0	3	15	1	12	3
TCGA-3A-A9IX-01A-11D-A40W-08	0	0	0	0	1	11	0	0	0	2
TCGA-3A-A9IZ-01A-12D-A40W-08	0	6	0	16	9	0	0	6	12	9
TCGA-3A-A9J0-01A-11D-A40W-08	0	12	21	23	15	14	0	0	0	0
TCGA-3E-AAAY-01A-11D-A38G-08	0	0	0	0	0	19	2	0	6	0
TCGA-3E-AAAZ-01A-11D-A38G-08	0	10	5	3	12	0	12	7	0	1
TCGA-F2-6879-01A-11D-2154-08	0	8	10	1	12	0	0	4	0	0
TCGA-F2-6880-01A-11D-2154-08	0	0	0	0	0	0	0	0	1	0
TCGA-F2-7273-01A-11D-2154-08	0	0	0	0	0	0	0	0	0	1
TCGA-F2-A44G-01A-11D-A26I-08	0	2	6	6	11	4	13	1	0	3
TCGA-F2-A44H-01A-11D-A26I-08	0	0	0	0	0	7	0	0	11	0
TCGA-F2-A7TX-01A-33D-A38G-08	0	7	7	2	14	0	0	0	1	14
TCGA-F2-A8YN-01A-11D-A377-08	0	0	0	6	0	23	16	2	0	6
TCGA-FB-A4P6-01A-12D-A26I-08	0	0	0	0	0	0	0	0	1	0
TCGA-FB-A5VM-01A-11D-A32N-08	3	1	1	0	14	4	0	31	0	1
TCGA-FB-A78T-01A-12D-A32N-08	7	0	2	0	19	0	6	0	0	13
TCGA-FB-A7DR-01A-21D-A33T-08	0	2	0	4	8	6	0	0	17	0
TCGA-FB-AAPP-01A-12D-A40W-08	5	0	19	0	38	10	37	0	0	0
