Samples	SBS96A
TCGA-2J-AAB1-01A-11D-A40W-08	60
TCGA-2J-AAB4-01A-12D-A40W-08	33
TCGA-2J-AAB6-01A-11D-A40W-08	62
TCGA-2J-AAB8-01A-12D-A40W-08	50
TCGA-2J-AAB9-01A-11D-A40W-08	19
TCGA-2J-AABA-01A-21D-A40W-08	25
TCGA-2J-AABE-01A-12D-A40W-08	37
TCGA-2J-AABF-01A-31D-A40W-08	50
TCGA-2J-AABH-01A-21D-A40W-08	45
TCGA-2J-AABI-01A-12D-A40W-08	36
TCGA-2J-AABK-01A-31D-A40W-08	37
TCGA-2J-AABO-01A-21D-A40W-08	66
TCGA-2J-AABP-01A-11D-A40W-08	112
TCGA-2J-AABR-01A-11D-A40W-08	6
TCGA-2J-AABT-01A-11D-A40W-08	21
TCGA-2J-AABV-01A-12D-A40W-08	7
TCGA-2L-AAQA-01A-21D-A38G-08	59
TCGA-2L-AAQE-01A-11D-A397-08	36
TCGA-2L-AAQI-01A-12D-A397-08	35
TCGA-2L-AAQJ-01A-12D-A397-08	86
TCGA-2L-AAQL-01A-11D-A38G-08	61
TCGA-2L-AAQM-01A-11D-A397-08	30
TCGA-3A-A9I5-01A-11D-A38G-08	26
TCGA-3A-A9I7-01A-21D-A38G-08	14
TCGA-3A-A9I9-01A-11D-A38G-08	105
TCGA-3A-A9IB-01A-21D-A397-08	39
TCGA-3A-A9IC-01A-11D-A38G-08	36
TCGA-3A-A9IH-01A-12D-A397-08	52
TCGA-3A-A9IJ-01A-11D-A397-08	19
TCGA-3A-A9IL-01A-11D-A38G-08	5
TCGA-3A-A9IN-01A-11D-A397-08	25
TCGA-3A-A9IO-01A-11D-A38G-08	8
TCGA-3A-A9IR-01A-11D-A38G-08	17
TCGA-3A-A9IS-01A-21D-A397-08	32
TCGA-3A-A9IU-01A-11D-A397-08	35
TCGA-3A-A9IV-01A-11D-A40W-08	45
TCGA-3A-A9IX-01A-11D-A40W-08	14
TCGA-3A-A9IZ-01A-12D-A40W-08	58
TCGA-3A-A9J0-01A-11D-A40W-08	85
TCGA-3E-AAAY-01A-11D-A38G-08	27
TCGA-3E-AAAZ-01A-11D-A38G-08	50
TCGA-F2-6879-01A-11D-2154-08	35
TCGA-F2-6880-01A-11D-2154-08	1
TCGA-F2-7273-01A-11D-2154-08	1
TCGA-F2-A44G-01A-11D-A26I-08	46
TCGA-F2-A44H-01A-11D-A26I-08	18
TCGA-F2-A7TX-01A-33D-A38G-08	45
TCGA-F2-A8YN-01A-11D-A377-08	53
TCGA-FB-A4P6-01A-12D-A26I-08	1
TCGA-FB-A5VM-01A-11D-A32N-08	55
TCGA-FB-A78T-01A-12D-A32N-08	47
TCGA-FB-A7DR-01A-21D-A33T-08	37
TCGA-FB-AAPP-01A-12D-A40W-08	109
TCGA-FB-AAPQ-01A-11D-A40W-08	39
TCGA-FB-AAPS-01A-12D-A397-08	27
TCGA-FB-AAPU-01A-31D-A40W-08	80
TCGA-FB-AAPY-01A-11D-A40W-08	31
TCGA-FB-AAPZ-01A-11D-A40W-08	42
TCGA-FB-AAQ0-01A-31D-A40W-08	42
TCGA-FB-AAQ1-01A-12D-A40W-08	37
TCGA-FB-AAQ2-01A-31D-A40W-08	36
TCGA-FB-AAQ3-01A-11D-A40W-08	39
TCGA-FB-AAQ6-01A-11D-A40W-08	61
TCGA-FZ-5919-01A-11D-1609-08	29
TCGA-FZ-5920-01A-11D-1609-08	55
TCGA-FZ-5921-01A-11D-1609-08	71
TCGA-FZ-5922-01A-11D-1609-08	39
TCGA-FZ-5923-01A-12D-1609-08	64
TCGA-FZ-5924-01A-13D-1609-08	40
TCGA-FZ-5926-01A-11D-1609-08	28
TCGA-H6-8124-01A-11D-2396-08	35
TCGA-H6-A45N-01A-11D-A26I-08	24
TCGA-H8-A6C1-01A-11D-A32N-08	25
TCGA-HV-A5A3-01A-11D-A26I-08	38
TCGA-HV-A5A4-01A-11D-A26I-08	39
TCGA-HV-A5A5-01A-11D-A26I-08	18
TCGA-HV-A5A6-01A-11D-A26I-08	46
TCGA-HV-A7OL-01A-11D-A33T-08	51
TCGA-HV-A7OP-01A-11D-A33T-08	97
TCGA-HV-AA8V-01A-11D-A40W-08	34
TCGA-HV-AA8X-01A-11D-A397-08	50
TCGA-HZ-7289-01A-11D-2154-08	80
TCGA-HZ-7918-01A-11D-2154-08	125
TCGA-HZ-7919-01A-11D-2154-08	60
TCGA-HZ-7920-01A-11D-2201-08	1
TCGA-HZ-7922-01A-11D-2154-08	45
TCGA-HZ-7925-01A-11D-2154-08	26
TCGA-HZ-7926-01A-11D-2154-08	37
TCGA-HZ-8001-01A-11D-2201-08	47
TCGA-HZ-8002-01A-11D-2201-08	9
TCGA-HZ-8003-01A-21D-2201-08	13
TCGA-HZ-8005-01A-11D-2201-08	55
TCGA-HZ-8315-01A-11D-2396-08	61
TCGA-HZ-8317-01A-11D-2396-08	13
TCGA-HZ-8636-01A-21D-2396-08	46
TCGA-HZ-8637-01A-11D-2396-08	31
TCGA-HZ-A49H-01A-11D-A26I-08	10
TCGA-HZ-A49I-01A-12D-A26I-08	45
TCGA-HZ-A4BH-01A-11D-A26I-08	64
TCGA-HZ-A4BK-01A-11D-A26I-08	52
TCGA-HZ-A77O-01A-11D-A33T-08	27
TCGA-HZ-A77P-01A-11D-A33T-08	43
TCGA-HZ-A77Q-01A-11D-A36O-08	51
TCGA-HZ-A8P0-01A-11D-A36O-08	39
TCGA-HZ-A8P1-01A-11D-A377-08	57
TCGA-HZ-A9TJ-01A-11D-A40W-08	87
TCGA-IB-7644-01A-11D-2154-08	30
TCGA-IB-7645-01A-22D-2201-08	29
TCGA-IB-7646-01A-11D-2154-08	61
TCGA-IB-7647-01A-11D-2154-08	49
TCGA-IB-7649-01A-11D-2154-08	37
TCGA-IB-7651-01A-11D-2154-08	17381
TCGA-IB-7652-01A-11D-2154-08	88
TCGA-IB-7654-01A-11D-2154-08	39
TCGA-IB-7885-01A-11D-2154-08	44
TCGA-IB-7886-01A-11D-2154-08	49
TCGA-IB-7887-01A-11D-2154-08	26
TCGA-IB-7888-01A-11D-2154-08	27
TCGA-IB-7889-01A-11D-2154-08	44
TCGA-IB-7890-01A-12D-2201-08	65
TCGA-IB-7891-01A-11D-2201-08	26
TCGA-IB-7893-01A-11D-2201-08	37
TCGA-IB-7897-01A-21D-2201-08	3
TCGA-IB-8126-01A-11D-2396-08	12
TCGA-IB-8127-01A-11D-2396-08	41
TCGA-IB-A5SO-01A-11D-A32N-08	26
TCGA-IB-A5SP-01A-11D-A32N-08	43
TCGA-IB-A5SQ-01A-11D-A32N-08	35
TCGA-IB-A5SS-01A-11D-A32N-08	35
TCGA-IB-A5ST-01A-11D-A32N-08	7
TCGA-IB-A6UF-01A-23D-A33T-08	51
TCGA-IB-A6UG-01A-32D-A33T-08	67
TCGA-IB-A7LX-01A-12D-A36O-08	36
TCGA-IB-A7M4-01A-11D-A36O-08	54
TCGA-IB-AAUM-01A-11D-A377-08	15
TCGA-IB-AAUN-01A-12D-A38G-08	26
TCGA-IB-AAUO-01A-12D-A38G-08	43
TCGA-IB-AAUP-01A-11D-A377-08	33
TCGA-IB-AAUQ-01A-22D-A40W-08	60
TCGA-IB-AAUR-01A-21D-A38G-08	4
TCGA-IB-AAUS-01A-12D-A38G-08	1
TCGA-IB-AAUT-01A-11D-A377-08	1
TCGA-IB-AAUU-01A-11D-A377-08	41
TCGA-IB-AAUW-01A-12D-A38G-08	1
TCGA-LB-A7SX-01A-11D-A33T-08	108
TCGA-LB-A8F3-01A-11D-A36O-08	36
TCGA-LB-A9Q5-01A-11D-A397-08	14
TCGA-M8-A5N4-01A-11D-A26I-08	33
TCGA-OE-A75W-01A-12D-A32N-08	86
TCGA-PZ-A5RE-01A-11D-A32N-08	25
TCGA-Q3-A5QY-01A-12D-A32N-08	2
