Samples	SBS96A
TCGA-2J-AAB1-01A-11D-A40W-08	0.00E+00
TCGA-2J-AAB4-01A-12D-A40W-08	0.00E+00
TCGA-2J-AAB6-01A-11D-A40W-08	0.00E+00
TCGA-2J-AAB8-01A-12D-A40W-08	0.00E+00
TCGA-2J-AAB9-01A-11D-A40W-08	0.00E+00
TCGA-2J-AABA-01A-21D-A40W-08	0.00E+00
TCGA-2J-AABE-01A-12D-A40W-08	0.00E+00
TCGA-2J-AABF-01A-31D-A40W-08	0.00E+00
TCGA-2J-AABH-01A-21D-A40W-08	0.00E+00
TCGA-2J-AABI-01A-12D-A40W-08	0.00E+00
TCGA-2J-AABK-01A-31D-A40W-08	0.00E+00
TCGA-2J-AABO-01A-21D-A40W-08	0.00E+00
TCGA-2J-AABP-01A-11D-A40W-08	0.00E+00
TCGA-2J-AABR-01A-11D-A40W-08	0.00E+00
TCGA-2J-AABT-01A-11D-A40W-08	0.00E+00
TCGA-2J-AABV-01A-12D-A40W-08	0.00E+00
TCGA-2L-AAQA-01A-21D-A38G-08	0.00E+00
TCGA-2L-AAQE-01A-11D-A397-08	0.00E+00
TCGA-2L-AAQI-01A-12D-A397-08	0.00E+00
TCGA-2L-AAQJ-01A-12D-A397-08	0.00E+00
TCGA-2L-AAQL-01A-11D-A38G-08	0.00E+00
TCGA-2L-AAQM-01A-11D-A397-08	0.00E+00
TCGA-3A-A9I5-01A-11D-A38G-08	0.00E+00
TCGA-3A-A9I7-01A-21D-A38G-08	0.00E+00
TCGA-3A-A9I9-01A-11D-A38G-08	0.00E+00
TCGA-3A-A9IB-01A-21D-A397-08	0.00E+00
TCGA-3A-A9IC-01A-11D-A38G-08	0.00E+00
TCGA-3A-A9IH-01A-12D-A397-08	0.00E+00
TCGA-3A-A9IJ-01A-11D-A397-08	0.00E+00
TCGA-3A-A9IL-01A-11D-A38G-08	0.00E+00
TCGA-3A-A9IN-01A-11D-A397-08	0.00E+00
TCGA-3A-A9IO-01A-11D-A38G-08	0.00E+00
TCGA-3A-A9IR-01A-11D-A38G-08	0.00E+00
TCGA-3A-A9IS-01A-21D-A397-08	0.00E+00
TCGA-3A-A9IU-01A-11D-A397-08	0.00E+00
TCGA-3A-A9IV-01A-11D-A40W-08	0.00E+00
TCGA-3A-A9IX-01A-11D-A40W-08	0.00E+00
TCGA-3A-A9IZ-01A-12D-A40W-08	0.00E+00
TCGA-3A-A9J0-01A-11D-A40W-08	0.00E+00
TCGA-3E-AAAY-01A-11D-A38G-08	0.00E+00
TCGA-3E-AAAZ-01A-11D-A38G-08	0.00E+00
TCGA-F2-6879-01A-11D-2154-08	0.00E+00
TCGA-F2-6880-01A-11D-2154-08	0.00E+00
TCGA-F2-7273-01A-11D-2154-08	0.00E+00
TCGA-F2-A44G-01A-11D-A26I-08	0.00E+00
TCGA-F2-A44H-01A-11D-A26I-08	0.00E+00
TCGA-F2-A7TX-01A-33D-A38G-08	0.00E+00
TCGA-F2-A8YN-01A-11D-A377-08	0.00E+00
TCGA-FB-A4P6-01A-12D-A26I-08	0.00E+00
TCGA-FB-A5VM-01A-11D-A32N-08	0.00E+00
TCGA-FB-A78T-01A-12D-A32N-08	0.00E+00
TCGA-FB-A7DR-01A-21D-A33T-08	0.00E+00
TCGA-FB-AAPP-01A-12D-A40W-08	0.00E+00
TCGA-FB-AAPQ-01A-11D-A40W-08	0.00E+00
TCGA-FB-AAPS-01A-12D-A397-08	0.00E+00
TCGA-FB-AAPU-01A-31D-A40W-08	0.00E+00
TCGA-FB-AAPY-01A-11D-A40W-08	0.00E+00
TCGA-FB-AAPZ-01A-11D-A40W-08	0.00E+00
TCGA-FB-AAQ0-01A-31D-A40W-08	0.00E+00
TCGA-FB-AAQ1-01A-12D-A40W-08	0.00E+00
TCGA-FB-AAQ2-01A-31D-A40W-08	0.00E+00
TCGA-FB-AAQ3-01A-11D-A40W-08	0.00E+00
TCGA-FB-AAQ6-01A-11D-A40W-08	0.00E+00
TCGA-FZ-5919-01A-11D-1609-08	0.00E+00
TCGA-FZ-5920-01A-11D-1609-08	0.00E+00
TCGA-FZ-5921-01A-11D-1609-08	0.00E+00
TCGA-FZ-5922-01A-11D-1609-08	0.00E+00
TCGA-FZ-5923-01A-12D-1609-08	0.00E+00
TCGA-FZ-5924-01A-13D-1609-08	0.00E+00
TCGA-FZ-5926-01A-11D-1609-08	0.00E+00
TCGA-H6-8124-01A-11D-2396-08	0.00E+00
TCGA-H6-A45N-01A-11D-A26I-08	0.00E+00
TCGA-H8-A6C1-01A-11D-A32N-08	0.00E+00
TCGA-HV-A5A3-01A-11D-A26I-08	0.00E+00
TCGA-HV-A5A4-01A-11D-A26I-08	0.00E+00
TCGA-HV-A5A5-01A-11D-A26I-08	0.00E+00
TCGA-HV-A5A6-01A-11D-A26I-08	0.00E+00
TCGA-HV-A7OL-01A-11D-A33T-08	0.00E+00
TCGA-HV-A7OP-01A-11D-A33T-08	0.00E+00
TCGA-HV-AA8V-01A-11D-A40W-08	0.00E+00
TCGA-HV-AA8X-01A-11D-A397-08	0.00E+00
TCGA-HZ-7289-01A-11D-2154-08	0.00E+00
TCGA-HZ-7918-01A-11D-2154-08	0.00E+00
TCGA-HZ-7919-01A-11D-2154-08	0.00E+00
TCGA-HZ-7920-01A-11D-2201-08	0.00E+00
TCGA-HZ-7922-01A-11D-2154-08	0.00E+00
TCGA-HZ-7925-01A-11D-2154-08	0.00E+00
TCGA-HZ-7926-01A-11D-2154-08	0.00E+00
TCGA-HZ-8001-01A-11D-2201-08	0.00E+00
TCGA-HZ-8002-01A-11D-2201-08	0.00E+00
TCGA-HZ-8003-01A-21D-2201-08	0.00E+00
TCGA-HZ-8005-01A-11D-2201-08	0.00E+00
TCGA-HZ-8315-01A-11D-2396-08	0.00E+00
TCGA-HZ-8317-01A-11D-2396-08	0.00E+00
TCGA-HZ-8636-01A-21D-2396-08	0.00E+00
TCGA-HZ-8637-01A-11D-2396-08	0.00E+00
TCGA-HZ-A49H-01A-11D-A26I-08	0.00E+00
TCGA-HZ-A49I-01A-12D-A26I-08	0.00E+00
TCGA-HZ-A4BH-01A-11D-A26I-08	0.00E+00
TCGA-HZ-A4BK-01A-11D-A26I-08	0.00E+00
TCGA-HZ-A77O-01A-11D-A33T-08	0.00E+00
TCGA-HZ-A77P-01A-11D-A33T-08	0.00E+00
