NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	43.886	119.055	8.593	73.409	1.394	0.606	20000.0
2	44.443	120.456	8.463	73.935	1.421	0.593	20000.0
3	43.66	118.582	8.571	73.709	1.374	0.606	30000.0
4	43.43	118.47	8.619	73.827	1.385	0.6	20000.0
5	44.159	119.668	8.613	73.485	1.399	0.606	30000.0
6	44.457	121.641	8.734	75.434	1.453	0.574	20000.0
7	44.118	120.108	8.692	74.687	1.415	0.589	20000.0
8	43.42	118.22	8.459	73.34	1.387	0.609	30000.0
9	43.465	119.437	8.564	74.078	1.422	0.595	20000.0
10	43.799	119.822	8.523	73.511	1.414	0.603	20000.0
11	44.331	121.013	8.656	74.926	1.414	0.59	20000.0
12	44.242	120.155	8.583	74.102	1.417	0.594	20000.0
13	44.049	120.555	8.674	74.409	1.425	0.59	20000.0
14	43.551	119.066	8.471	73.675	1.383	0.6	20000.0
15	44.414	120.27	8.652	74.134	1.415	0.596	30000.0
16	43.742	119.338	8.523	73.996	1.414	0.592	20000.0
17	43.204	118.816	8.488	73.461	1.407	0.601	20000.0
18	44.053	119.293	8.642	73.968	1.408	0.598	40000.0
19	43.72	118.867	8.353	73.277	1.382	0.606	30000.0
20	43.133	117.73	8.456	73.266	1.388	0.604	20000.0
21	43.46	118.381	8.497	73.349	1.387	0.607	30000.0
22	43.682	119.473	8.593	74.264	1.403	0.592	40000.0
23	44.127	119.758	8.665	74.078	1.411	0.598	30000.0
24	44.087	119.847	8.539	73.779	1.375	0.606	20000.0
25	43.491	119.042	8.565	73.674	1.415	0.598	30000.0
26	43.469	118.668	8.615	74.194	1.378	0.598	30000.0
27	44.186	120.266	8.72	74.597	1.423	0.591	40000.0
28	44.056	119.719	8.631	74.544	1.403	0.594	30000.0
29	44.263	119.547	8.673	74.23	1.403	0.596	20000.0
30	43.56	119.343	8.477	73.668	1.393	0.603	20000.0
31	43.328	118.192	8.454	73.34	1.392	0.602	20000.0
32	43.485	119.149	8.443	73.01	1.377	0.611	40000.0
33	44.324	120.122	8.669	74.552	1.391	0.596	20000.0
34	44.002	120.264	8.541	74.463	1.419	0.589	40000.0
35	43.465	119.035	8.421	73.562	1.382	0.605	20000.0
36	43.333	118.757	8.514	73.124	1.393	0.606	30000.0
37	43.38	118.904	8.507	73.735	1.394	0.601	30000.0
38	44.409	119.877	8.574	73.902	1.405	0.599	30000.0
39	44.076	120.269	8.526	74.32	1.398	0.593	40000.0
40	44.322	120.696	8.701	74.383	1.427	0.592	20000.0
41	43.406	118.391	8.531	73.697	1.376	0.604	50000.0
42	43.134	117.959	8.502	73.447	1.372	0.607	40000.0
43	44.245	120.863	8.634	74.326	1.413	0.594	20000.0
44	43.555	117.951	8.634	73.37	1.37	0.606	20000.0
45	43.762	119.206	8.467	73.807	1.395	0.601	30000.0
46	43.775	119.253	8.365	73.909	1.397	0.598	20000.0
47	44.156	120.547	8.607	74.367	1.419	0.593	20000.0
48	42.852	117.585	8.359	72.942	1.38	0.613	20000.0
49	44.321	119.699	8.631	74.305	1.394	0.594	20000.0
50	44.451	120.65	8.686	74.186	1.405	0.598	20000.0
51	43.475	118.557	8.468	73.263	1.389	0.605	40000.0
52	44.327	120.352	8.602	74.688	1.422	0.588	30000.0
53	44.04	119.568	8.802	74.652	1.388	0.594	40000.0
54	44.643	121.449	8.636	74.6	1.42	0.587	20000.0
55	43.7	119.147	8.554	73.653	1.391	0.606	30000.0
56	44.479	120.81	8.666	74.977	1.432	0.583	20000.0
57	43.774	120.536	8.616	74.543	1.418	0.588	30000.0
58	43.316	118.354	8.319	73.222	1.38	0.604	40000.0
59	43.942	119.133	8.607	73.884	1.427	0.597	20000.0
60	44.037	119.897	8.582	74.138	1.425	0.591	20000.0
61	44.164	119.585	8.709	74.153	1.382	0.598	20000.0
62	43.918	118.74	8.694	73.762	1.383	0.603	20000.0
63	44.095	118.828	8.657	73.489	1.383	0.608	20000.0
