Samples	SBS96A	SBS96B	SBS96C
TCGA-2J-AAB1-01A-11D-A40W-08	18	32	10
TCGA-2J-AAB4-01A-12D-A40W-08	0	22	11
TCGA-2J-AAB6-01A-11D-A40W-08	14	41	7
TCGA-2J-AAB8-01A-12D-A40W-08	0	23	27
TCGA-2J-AAB9-01A-11D-A40W-08	6	8	5
TCGA-2J-AABA-01A-21D-A40W-08	4	9	12
TCGA-2J-AABE-01A-12D-A40W-08	9	8	20
TCGA-2J-AABF-01A-31D-A40W-08	0	38	12
TCGA-2J-AABH-01A-21D-A40W-08	6	20	19
TCGA-2J-AABI-01A-12D-A40W-08	9	14	13
TCGA-2J-AABK-01A-31D-A40W-08	1	19	17
TCGA-2J-AABO-01A-21D-A40W-08	28	38	0
TCGA-2J-AABP-01A-11D-A40W-08	4	52	56
TCGA-2J-AABR-01A-11D-A40W-08	0	2	4
TCGA-2J-AABT-01A-11D-A40W-08	2	14	5
TCGA-2J-AABV-01A-12D-A40W-08	1	4	2
TCGA-2L-AAQA-01A-21D-A38G-08	17	38	4
TCGA-2L-AAQE-01A-11D-A397-08	0	23	13
TCGA-2L-AAQI-01A-12D-A397-08	6	16	13
TCGA-2L-AAQJ-01A-12D-A397-08	4	82	0
TCGA-2L-AAQL-01A-11D-A38G-08	10	38	13
TCGA-2L-AAQM-01A-11D-A397-08	7	0	23
TCGA-3A-A9I5-01A-11D-A38G-08	11	15	0
TCGA-3A-A9I7-01A-21D-A38G-08	6	4	4
TCGA-3A-A9I9-01A-11D-A38G-08	11	21	73
TCGA-3A-A9IB-01A-21D-A397-08	9	11	19
TCGA-3A-A9IC-01A-11D-A38G-08	4	11	21
TCGA-3A-A9IH-01A-12D-A397-08	11	41	0
TCGA-3A-A9IJ-01A-11D-A397-08	9	0	10
TCGA-3A-A9IL-01A-11D-A38G-08	0	0	5
TCGA-3A-A9IN-01A-11D-A397-08	0	9	16
TCGA-3A-A9IO-01A-11D-A38G-08	3	0	5
TCGA-3A-A9IR-01A-11D-A38G-08	9	7	1
TCGA-3A-A9IS-01A-21D-A397-08	5	0	27
TCGA-3A-A9IU-01A-11D-A397-08	4	15	16
TCGA-3A-A9IV-01A-11D-A40W-08	9	5	31
TCGA-3A-A9IX-01A-11D-A40W-08	0	14	0
TCGA-3A-A9IZ-01A-12D-A40W-08	3	13	42
TCGA-3A-A9J0-01A-11D-A40W-08	18	57	10
TCGA-3E-AAAY-01A-11D-A38G-08	2	21	4
TCGA-3E-AAAZ-01A-11D-A38G-08	11	22	17
TCGA-F2-6879-01A-11D-2154-08	7	25	3
TCGA-F2-6880-01A-11D-2154-08	0	0	1
TCGA-F2-7273-01A-11D-2154-08	0	0	1
TCGA-F2-A44G-01A-11D-A26I-08	3	28	15
TCGA-F2-A44H-01A-11D-A26I-08	0	8	10
TCGA-F2-A7TX-01A-33D-A38G-08	5	20	20
TCGA-F2-A8YN-01A-11D-A377-08	6	24	23
TCGA-FB-A4P6-01A-12D-A26I-08	0	0	1
TCGA-FB-A5VM-01A-11D-A32N-08	2	24	29
TCGA-FB-A78T-01A-12D-A32N-08	8	26	13
TCGA-FB-A7DR-01A-21D-A33T-08	3	21	13
TCGA-FB-AAPP-01A-12D-A40W-08	22	83	4
TCGA-FB-AAPQ-01A-11D-A40W-08	6	19	14
TCGA-FB-AAPS-01A-12D-A397-08	12	10	5
TCGA-FB-AAPU-01A-31D-A40W-08	21	17	42
TCGA-FB-AAPY-01A-11D-A40W-08	9	22	0
TCGA-FB-AAPZ-01A-11D-A40W-08	6	34	2
TCGA-FB-AAQ0-01A-31D-A40W-08	0	28	14
TCGA-FB-AAQ1-01A-12D-A40W-08	11	26	0
TCGA-FB-AAQ2-01A-31D-A40W-08	1	35	0
TCGA-FB-AAQ3-01A-11D-A40W-08	9	17	13
TCGA-FB-AAQ6-01A-11D-A40W-08	9	29	23
TCGA-FZ-5919-01A-11D-1609-08	10	11	8
TCGA-FZ-5920-01A-11D-1609-08	23	29	3
TCGA-FZ-5921-01A-11D-1609-08	11	55	5
TCGA-FZ-5922-01A-11D-1609-08	2	17	20
TCGA-FZ-5923-01A-12D-1609-08	13	43	8
TCGA-FZ-5924-01A-13D-1609-08	9	24	7
TCGA-FZ-5926-01A-11D-1609-08	1	17	10
TCGA-H6-8124-01A-11D-2396-08	8	23	4
TCGA-H6-A45N-01A-11D-A26I-08	0	3	21
TCGA-H8-A6C1-01A-11D-A32N-08	3	22	0
TCGA-HV-A5A3-01A-11D-A26I-08	10	22	6
TCGA-HV-A5A4-01A-11D-A26I-08	9	30	0
TCGA-HV-A5A5-01A-11D-A26I-08	3	3	12
TCGA-HV-A5A6-01A-11D-A26I-08	14	29	3
TCGA-HV-A7OL-01A-11D-A33T-08	3	32	16
TCGA-HV-A7OP-01A-11D-A33T-08	10	23	64
TCGA-HV-AA8V-01A-11D-A40W-08	0	25	9
TCGA-HV-AA8X-01A-11D-A397-08	25	19	6
TCGA-HZ-7289-01A-11D-2154-08	22	36	22
TCGA-HZ-7918-01A-11D-2154-08	8	0	117
TCGA-HZ-7919-01A-11D-2154-08	0	9	51
TCGA-HZ-7920-01A-11D-2201-08	0	0	1
TCGA-HZ-7922-01A-11D-2154-08	6	39	0
TCGA-HZ-7925-01A-11D-2154-08	11	15	0
TCGA-HZ-7926-01A-11D-2154-08	12	15	10
TCGA-HZ-8001-01A-11D-2201-08	11	20	16
TCGA-HZ-8002-01A-11D-2201-08	5	4	0
TCGA-HZ-8003-01A-21D-2201-08	3	3	7
TCGA-HZ-8005-01A-11D-2201-08	6	30	19
TCGA-HZ-8315-01A-11D-2396-08	0	25	36
TCGA-HZ-8317-01A-11D-2396-08	0	6	7
TCGA-HZ-8636-01A-21D-2396-08	0	33	13
TCGA-HZ-8637-01A-11D-2396-08	0	25	6
TCGA-HZ-A49H-01A-11D-A26I-08	2	6	2
TCGA-HZ-A49I-01A-12D-A26I-08	2	33	10
TCGA-HZ-A4BH-01A-11D-A26I-08	0	35	29
TCGA-HZ-A4BK-01A-11D-A26I-08	7	28	17
TCGA-HZ-A77O-01A-11D-A33T-08	6	11	10
TCGA-HZ-A77P-01A-11D-A33T-08	0	39	4
TCGA-HZ-A77Q-01A-11D-A36O-08	5	42	4
TCGA-HZ-A8P0-01A-11D-A36O-08	17	17	5
TCGA-HZ-A8P1-01A-11D-A377-08	0	23	34
TCGA-HZ-A9TJ-01A-11D-A40W-08	0	57	30
TCGA-IB-7644-01A-11D-2154-08	0	12	18
TCGA-IB-7645-01A-22D-2201-08	2	19	8
TCGA-IB-7646-01A-11D-2154-08	2	44	15
TCGA-IB-7647-01A-11D-2154-08	7	28	14
TCGA-IB-7649-01A-11D-2154-08	19	10	8
TCGA-IB-7651-01A-11D-2154-08	17245	136	0
TCGA-IB-7652-01A-11D-2154-08	32	25	31
TCGA-IB-7654-01A-11D-2154-08	0	39	0
TCGA-IB-7885-01A-11D-2154-08	0	23	21
TCGA-IB-7886-01A-11D-2154-08	7	41	1
TCGA-IB-7887-01A-11D-2154-08	3	13	10
TCGA-IB-7888-01A-11D-2154-08	1	16	10
TCGA-IB-7889-01A-11D-2154-08	3	30	11
TCGA-IB-7890-01A-12D-2201-08	17	43	5
TCGA-IB-7891-01A-11D-2201-08	0	26	0
TCGA-IB-7893-01A-11D-2201-08	10	22	5
TCGA-IB-7897-01A-21D-2201-08	0	3	0
TCGA-IB-8126-01A-11D-2396-08	7	2	3
TCGA-IB-8127-01A-11D-2396-08	0	41	0
TCGA-IB-A5SO-01A-11D-A32N-08	0	15	11
TCGA-IB-A5SP-01A-11D-A32N-08	0	26	17
TCGA-IB-A5SQ-01A-11D-A32N-08	15	20	0
TCGA-IB-A5SS-01A-11D-A32N-08	5	21	9
TCGA-IB-A5ST-01A-11D-A32N-08	1	4	2
TCGA-IB-A6UF-01A-23D-A33T-08	0	42	9
TCGA-IB-A6UG-01A-32D-A33T-08	10	57	0
TCGA-IB-A7LX-01A-12D-A36O-08	11	6	19
TCGA-IB-A7M4-01A-11D-A36O-08	0	42	12
TCGA-IB-AAUM-01A-11D-A377-08	0	7	8
TCGA-IB-AAUN-01A-12D-A38G-08	3	18	5
TCGA-IB-AAUO-01A-12D-A38G-08	12	24	7
TCGA-IB-AAUP-01A-11D-A377-08	0	31	2
TCGA-IB-AAUQ-01A-22D-A40W-08	8	38	14
TCGA-IB-AAUR-01A-21D-A38G-08	4	0	0
TCGA-IB-AAUS-01A-12D-A38G-08	0	0	1
TCGA-IB-AAUT-01A-11D-A377-08	0	0	1
TCGA-IB-AAUU-01A-11D-A377-08	12	24	5
TCGA-IB-AAUW-01A-12D-A38G-08	0	0	1
TCGA-LB-A7SX-01A-11D-A33T-08	5	15	88
TCGA-LB-A8F3-01A-11D-A36O-08	5	3	28
TCGA-LB-A9Q5-01A-11D-A397-08	5	2	7
