Samples	SBS96A	SBS96B	SBS96C
TCGA-2J-AAB1-01A-11D-A40W-08	6.15E-01	9.10E-01	7.50E-01
TCGA-2J-AAB4-01A-12D-A40W-08	0.00E+00	7.00E-01	7.00E-01
TCGA-2J-AAB6-01A-11D-A40W-08	6.15E-01	9.08E-01	7.45E-01
TCGA-2J-AAB8-01A-12D-A40W-08	5.08E-01	8.93E-01	8.11E-01
TCGA-2J-AAB9-01A-11D-A40W-08	5.86E-01	4.56E-01	3.36E-01
TCGA-2J-AABA-01A-21D-A40W-08	3.76E-01	5.44E-01	5.52E-01
TCGA-2J-AABE-01A-12D-A40W-08	4.68E-01	6.44E-01	6.71E-01
TCGA-2J-AABF-01A-31D-A40W-08	6.51E-01	7.68E-01	5.99E-01
TCGA-2J-AABH-01A-21D-A40W-08	4.32E-01	9.93E-01	8.75E-01
TCGA-2J-AABI-01A-12D-A40W-08	3.82E-01	7.10E-01	7.04E-01
TCGA-2J-AABK-01A-31D-A40W-08	1.76E-01	7.30E-01	7.15E-01
TCGA-2J-AABO-01A-21D-A40W-08	8.06E-01	9.28E-01	4.64E-01
TCGA-2J-AABP-01A-11D-A40W-08	6.25E-01	1.96E+00	2.00E+00
TCGA-2J-AABR-01A-11D-A40W-08	1.85E-01	1.85E-01	2.38E-01
TCGA-2J-AABT-01A-11D-A40W-08	4.48E-01	4.93E-01	4.54E-01
TCGA-2J-AABV-01A-12D-A40W-08	3.15E-02	2.41E-01	2.44E-01
TCGA-2L-AAQA-01A-21D-A38G-08	4.04E-01	8.15E-01	6.88E-01
TCGA-2L-AAQE-01A-11D-A397-08	0.00E+00	6.13E-01	6.12E-01
TCGA-2L-AAQI-01A-12D-A397-08	5.77E-01	9.05E-01	7.52E-01
TCGA-2L-AAQJ-01A-12D-A397-08	8.54E-01	1.05E+00	5.79E-01
TCGA-2L-AAQL-01A-11D-A38G-08	9.04E-01	9.52E-01	9.52E-01
TCGA-2L-AAQM-01A-11D-A397-08	4.60E-01	4.44E-01	6.80E-01
TCGA-3A-A9I5-01A-11D-A38G-08	4.45E-01	6.14E-01	4.91E-01
TCGA-3A-A9I7-01A-21D-A38G-08	3.14E-01	4.16E-01	3.08E-01
TCGA-3A-A9I9-01A-11D-A38G-08	6.14E-01	9.74E-01	9.29E-01
TCGA-3A-A9IB-01A-21D-A397-08	4.09E-01	6.66E-01	6.72E-01
TCGA-3A-A9IC-01A-11D-A38G-08	3.19E-01	9.50E-01	9.59E-01
TCGA-3A-A9IH-01A-12D-A397-08	5.12E-01	8.67E-01	8.49E-01
TCGA-3A-A9IJ-01A-11D-A397-08	3.79E-01	5.33E-01	5.61E-01
TCGA-3A-A9IL-01A-11D-A38G-08	0.00E+00	1.97E-01	1.96E-01
TCGA-3A-A9IN-01A-11D-A397-08	3.67E-01	5.41E-01	5.20E-01
TCGA-3A-A9IO-01A-11D-A38G-08	3.14E-01	1.89E-01	3.41E-01
TCGA-3A-A9IR-01A-11D-A38G-08	4.26E-01	6.00E-01	4.19E-01
TCGA-3A-A9IS-01A-21D-A397-08	1.69E-01	4.81E-01	5.18E-01
TCGA-3A-A9IU-01A-11D-A397-08	4.38E-01	6.43E-01	6.53E-01
TCGA-3A-A9IV-01A-11D-A40W-08	5.51E-01	8.22E-01	8.12E-01
TCGA-3A-A9IX-01A-11D-A40W-08	0.00E+00	2.26E-01	2.26E-01
TCGA-3A-A9IZ-01A-12D-A40W-08	5.00E-01	6.94E-01	7.44E-01
TCGA-3A-A9J0-01A-11D-A40W-08	1.05E+00	1.20E+00	7.83E-01
TCGA-3E-AAAY-01A-11D-A38G-08	5.00E-01	4.92E-01	5.17E-01
TCGA-3E-AAAZ-01A-11D-A38G-08	7.39E-01	9.69E-01	8.60E-01
TCGA-F2-6879-01A-11D-2154-08	4.89E-01	7.17E-01	5.56E-01
TCGA-F2-6880-01A-11D-2154-08	0.00E+00	2.73E-02	2.73E-02
TCGA-F2-7273-01A-11D-2154-08	0.00E+00	1.00E-02	1.00E-02
TCGA-F2-A44G-01A-11D-A26I-08	1.52E-01	7.34E-01	7.44E-01
TCGA-F2-A44H-01A-11D-A26I-08	2.12E-01	3.95E-01	4.40E-01
TCGA-F2-A7TX-01A-33D-A38G-08	5.82E-01	8.05E-01	7.86E-01
TCGA-F2-A8YN-01A-11D-A377-08	4.56E-01	6.77E-01	8.01E-01
TCGA-FB-A4P6-01A-12D-A26I-08	0.00E+00	4.76E-02	4.76E-02
TCGA-FB-A5VM-01A-11D-A32N-08	7.16E-01	8.18E-01	8.41E-01
TCGA-FB-A78T-01A-12D-A32N-08	5.14E-01	7.98E-01	7.57E-01
TCGA-FB-A7DR-01A-21D-A33T-08	6.40E-01	8.06E-01	6.98E-01
