Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA-2J-AAB1-01A-11D-A40W-08	14	24	18	4
TCGA-2J-AAB4-01A-12D-A40W-08	0	18	7	8
TCGA-2J-AAB6-01A-11D-A40W-08	12	41	0	9
TCGA-2J-AAB8-01A-12D-A40W-08	0	7	31	12
TCGA-2J-AAB9-01A-11D-A40W-08	5	9	0	5
TCGA-2J-AABA-01A-21D-A40W-08	4	9	0	12
TCGA-2J-AABE-01A-12D-A40W-08	5	0	22	10
TCGA-2J-AABF-01A-31D-A40W-08	0	30	10	10
TCGA-2J-AABH-01A-21D-A40W-08	3	8	27	7
TCGA-2J-AABI-01A-12D-A40W-08	5	1	30	0
TCGA-2J-AABK-01A-31D-A40W-08	1	18	0	18
TCGA-2J-AABO-01A-21D-A40W-08	22	27	17	0
TCGA-2J-AABP-01A-11D-A40W-08	0	8	95	9
TCGA-2J-AABR-01A-11D-A40W-08	0	2	0	4
TCGA-2J-AABT-01A-11D-A40W-08	2	13	0	6
TCGA-2J-AABV-01A-12D-A40W-08	0	0	7	0
TCGA-2L-AAQA-01A-21D-A38G-08	15	31	12	1
TCGA-2L-AAQE-01A-11D-A397-08	0	12	20	4
TCGA-2L-AAQI-01A-12D-A397-08	0	0	35	0
TCGA-2L-AAQJ-01A-12D-A397-08	3	80	0	3
TCGA-2L-AAQL-01A-11D-A38G-08	9	33	7	12
TCGA-2L-AAQM-01A-11D-A397-08	2	0	12	16
TCGA-3A-A9I5-01A-11D-A38G-08	11	15	0	0
TCGA-3A-A9I7-01A-21D-A38G-08	7	4	0	3
TCGA-3A-A9I9-01A-11D-A38G-08	11	23	0	71
TCGA-3A-A9IB-01A-21D-A397-08	9	11	0	19
TCGA-3A-A9IC-01A-11D-A38G-08	0	0	32	4
TCGA-3A-A9IH-01A-12D-A397-08	10	38	0	4
TCGA-3A-A9IJ-01A-11D-A397-08	9	0	2	8
TCGA-3A-A9IL-01A-11D-A38G-08	0	0	1	4
TCGA-3A-A9IN-01A-11D-A397-08	0	10	0	15
TCGA-3A-A9IO-01A-11D-A38G-08	2	0	3	3
TCGA-3A-A9IR-01A-11D-A38G-08	9	6	1	1
TCGA-3A-A9IS-01A-21D-A397-08	5	2	0	25
TCGA-3A-A9IU-01A-11D-A397-08	1	4	26	4
TCGA-3A-A9IV-01A-11D-A40W-08	4	0	20	21
TCGA-3A-A9IX-01A-11D-A40W-08	0	13	0	1
TCGA-3A-A9IZ-01A-12D-A40W-08	0	0	32	26
TCGA-3A-A9J0-01A-11D-A40W-08	8	33	44	0
TCGA-3E-AAAY-01A-11D-A38G-08	1	21	0	5
TCGA-3E-AAAZ-01A-11D-A38G-08	6	5	38	1
TCGA-F2-6879-01A-11D-2154-08	4	17	14	0
TCGA-F2-6880-01A-11D-2154-08	0	0	0	1
TCGA-F2-7273-01A-11D-2154-08	0	0	0	1
TCGA-F2-A44G-01A-11D-A26I-08	0	15	28	3
TCGA-F2-A44H-01A-11D-A26I-08	0	9	0	9
TCGA-F2-A7TX-01A-33D-A38G-08	5	20	0	20
TCGA-F2-A8YN-01A-11D-A377-08	5	21	7	20
TCGA-FB-A4P6-01A-12D-A26I-08	0	0	0	1
TCGA-FB-A5VM-01A-11D-A32N-08	0	17	16	22
TCGA-FB-A78T-01A-12D-A32N-08	7	24	0	16
TCGA-FB-A7DR-01A-21D-A33T-08	0	11	23	3
TCGA-FB-AAPP-01A-12D-A40W-08	17	67	25	0
TCGA-FB-AAPQ-01A-11D-A40W-08	6	19	0	14
TCGA-FB-AAPS-01A-12D-A397-08	11	7	8	1
TCGA-FB-AAPU-01A-31D-A40W-08	21	17	0	42
TCGA-FB-AAPY-01A-11D-A40W-08	9	22	0	0
TCGA-FB-AAPZ-01A-11D-A40W-08	1	22	19	0
TCGA-FB-AAQ0-01A-31D-A40W-08	0	26	1	15
TCGA-FB-AAQ1-01A-12D-A40W-08	10	27	0	0
TCGA-FB-AAQ2-01A-31D-A40W-08	2	34	0	0
TCGA-FB-AAQ3-01A-11D-A40W-08	3	0	36	0
TCGA-FB-AAQ6-01A-11D-A40W-08	8	25	9	19
TCGA-FZ-5919-01A-11D-1609-08	6	0	23	0
TCGA-FZ-5920-01A-11D-1609-08	21	28	0	6
TCGA-FZ-5921-01A-11D-1609-08	4	35	32	0
TCGA-FZ-5922-01A-11D-1609-08	2	16	0	21
TCGA-FZ-5923-01A-12D-1609-08	5	21	38	0
TCGA-FZ-5924-01A-13D-1609-08	6	15	19	0
TCGA-FZ-5926-01A-11D-1609-08	0	8	18	2
TCGA-H6-8124-01A-11D-2396-08	3	11	21	0
TCGA-H6-A45N-01A-11D-A26I-08	0	3	0	21
TCGA-H8-A6C1-01A-11D-A32N-08	4	20	1	0
TCGA-HV-A5A3-01A-11D-A26I-08	9	19	5	5
TCGA-HV-A5A4-01A-11D-A26I-08	9	29	0	1
TCGA-HV-A5A5-01A-11D-A26I-08	3	3	0	12
TCGA-HV-A5A6-01A-11D-A26I-08	10	21	15	0
TCGA-HV-A7OL-01A-11D-A33T-08	0	11	40	0
TCGA-HV-A7OP-01A-11D-A33T-08	4	1	55	37
TCGA-HV-AA8V-01A-11D-A40W-08	0	18	12	4
TCGA-HV-AA8X-01A-11D-A397-08	20	10	20	0
TCGA-HZ-7289-01A-11D-2154-08	20	31	11	18
TCGA-HZ-7918-01A-11D-2154-08	14	0	0	111
TCGA-HZ-7919-01A-11D-2154-08	0	10	0	50
TCGA-HZ-7920-01A-11D-2201-08	0	0	0	1
TCGA-HZ-7922-01A-11D-2154-08	4	37	0	4
TCGA-HZ-7925-01A-11D-2154-08	10	15	1	0
TCGA-HZ-7926-01A-11D-2154-08	11	15	0	11
TCGA-HZ-8001-01A-11D-2201-08	5	4	38	0
TCGA-HZ-8002-01A-11D-2201-08	4	5	0	0
TCGA-HZ-8003-01A-21D-2201-08	3	3	1	6
TCGA-HZ-8005-01A-11D-2201-08	5	26	9	15
TCGA-HZ-8315-01A-11D-2396-08	0	8	35	18
TCGA-HZ-8317-01A-11D-2396-08	0	6	0	7
TCGA-HZ-8636-01A-21D-2396-08	0	30	0	16
TCGA-HZ-8637-01A-11D-2396-08	0	16	13	2
TCGA-HZ-A49H-01A-11D-A26I-08	0	0	10	0
TCGA-HZ-A49I-01A-12D-A26I-08	1	33	0	11
TCGA-HZ-A4BH-01A-11D-A26I-08	0	3	61	0
TCGA-HZ-A4BK-01A-11D-A26I-08	5	22	11	14
TCGA-HZ-A77O-01A-11D-A33T-08	3	2	22	0
TCGA-HZ-A77P-01A-11D-A33T-08	0	32	5	6
TCGA-HZ-A77Q-01A-11D-A36O-08	3	38	4	6
TCGA-HZ-A8P0-01A-11D-A36O-08	15	12	11	1
TCGA-HZ-A8P1-01A-11D-A377-08	0	6	35	16
TCGA-HZ-A9TJ-01A-11D-A40W-08	0	29	51	7
TCGA-IB-7644-01A-11D-2154-08	0	11	0	19
TCGA-IB-7645-01A-22D-2201-08	0	11	15	3
TCGA-IB-7646-01A-11D-2154-08	2	42	0	17
TCGA-IB-7647-01A-11D-2154-08	6	22	13	8
TCGA-IB-7649-01A-11D-2154-08	16	2	19	0
TCGA-IB-7651-01A-11D-2154-08	16341	349	691	0
TCGA-IB-7652-01A-11D-2154-08	27	7	44	10
TCGA-IB-7654-01A-11D-2154-08	0	35	0	4
TCGA-IB-7885-01A-11D-2154-08	0	9	26	9
TCGA-IB-7886-01A-11D-2154-08	6	39	0	4
TCGA-IB-7887-01A-11D-2154-08	3	10	4	9
TCGA-IB-7888-01A-11D-2154-08	1	16	0	10
TCGA-IB-7889-01A-11D-2154-08	0	9	35	0
TCGA-IB-7890-01A-12D-2201-08	16	40	0	9
TCGA-IB-7891-01A-11D-2201-08	0	23	0	3
TCGA-IB-7893-01A-11D-2201-08	7	14	16	0
TCGA-IB-7897-01A-21D-2201-08	0	3	0	0
TCGA-IB-8126-01A-11D-2396-08	7	2	0	3
TCGA-IB-8127-01A-11D-2396-08	0	41	0	0
TCGA-IB-A5SO-01A-11D-A32N-08	0	13	4	9
TCGA-IB-A5SP-01A-11D-A32N-08	0	17	15	11
TCGA-IB-A5SQ-01A-11D-A32N-08	13	20	0	2
TCGA-IB-A5SS-01A-11D-A32N-08	5	20	0	10
TCGA-IB-A5ST-01A-11D-A32N-08	0	0	7	0
TCGA-IB-A6UF-01A-23D-A33T-08	0	22	29	0
TCGA-IB-A6UG-01A-32D-A33T-08	11	56	0	0
TCGA-IB-A7LX-01A-12D-A36O-08	7	0	20	9
TCGA-IB-A7M4-01A-11D-A36O-08	0	39	0	15
TCGA-IB-AAUM-01A-11D-A377-08	0	3	8	4
TCGA-IB-AAUN-01A-12D-A38G-08	3	16	0	7
TCGA-IB-AAUO-01A-12D-A38G-08	11	24	0	8
TCGA-IB-AAUP-01A-11D-A377-08	0	28	0	5
TCGA-IB-AAUQ-01A-22D-A40W-08	7	36	0	17
TCGA-IB-AAUR-01A-21D-A38G-08	4	0	0	0
TCGA-IB-AAUS-01A-12D-A38G-08	0	0	1	0
TCGA-IB-AAUT-01A-11D-A377-08	0	0	0	1
TCGA-IB-AAUU-01A-11D-A377-08	11	21	3	6
TCGA-IB-AAUW-01A-12D-A38G-08	0	0	0	1
TCGA-LB-A7SX-01A-11D-A33T-08	0	0	52	56
TCGA-LB-A8F3-01A-11D-A36O-08	2	0	15	19
TCGA-LB-A9Q5-01A-11D-A397-08	3	0	8	3
TCGA-M8-A5N4-01A-11D-A26I-08	0	22	10	1
TCGA-OE-A75W-01A-12D-A32N-08	30	8	46	2
TCGA-PZ-A5RE-01A-11D-A32N-08	0	19	0	6
TCGA-Q3-A5QY-01A-12D-A32N-08	1	1	0	0
TCGA-Q3-AA2A-01A-11D-A377-08	10	8	0	5
