Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-2J-AAB1-01A-11D-A40W-08	9	37	9	5	0
TCGA-2J-AAB4-01A-12D-A40W-08	0	0	18	8	7
TCGA-2J-AAB6-01A-11D-A40W-08	13	0	38	0	11
TCGA-2J-AAB8-01A-12D-A40W-08	0	0	14	26	10
TCGA-2J-AAB9-01A-11D-A40W-08	5	1	8	0	5
TCGA-2J-AABA-01A-21D-A40W-08	4	0	9	0	12
TCGA-2J-AABE-01A-12D-A40W-08	4	13	0	14	6
TCGA-2J-AABF-01A-31D-A40W-08	0	9	24	10	7
TCGA-2J-AABH-01A-21D-A40W-08	0	36	0	4	5
TCGA-2J-AABI-01A-12D-A40W-08	6	0	10	15	5
TCGA-2J-AABK-01A-31D-A40W-08	0	24	3	0	10
TCGA-2J-AABO-01A-21D-A40W-08	22	0	28	16	0
TCGA-2J-AABP-01A-11D-A40W-08	0	0	29	83	0
TCGA-2J-AABR-01A-11D-A40W-08	0	1	2	0	3
TCGA-2J-AABT-01A-11D-A40W-08	2	0	13	0	6
TCGA-2J-AABV-01A-12D-A40W-08	0	3	1	3	0
TCGA-2L-AAQA-01A-21D-A38G-08	14	8	29	6	2
TCGA-2L-AAQE-01A-11D-A397-08	0	0	15	19	2
TCGA-2L-AAQI-01A-12D-A397-08	0	0	6	29	0
TCGA-2L-AAQJ-01A-12D-A397-08	4	0	74	0	8
TCGA-2L-AAQL-01A-11D-A38G-08	0	59	2	0	0
TCGA-2L-AAQM-01A-11D-A397-08	0	0	0	30	0
TCGA-3A-A9I5-01A-11D-A38G-08	11	0	15	0	0
TCGA-3A-A9I7-01A-21D-A38G-08	7	0	4	0	3
TCGA-3A-A9I9-01A-11D-A38G-08	12	0	21	0	72
TCGA-3A-A9IB-01A-21D-A397-08	9	0	10	0	20
TCGA-3A-A9IC-01A-11D-A38G-08	0	0	3	33	0
TCGA-3A-A9IH-01A-12D-A397-08	3	29	20	0	0
TCGA-3A-A9IJ-01A-11D-A397-08	8	0	0	6	5
TCGA-3A-A9IL-01A-11D-A38G-08	0	0	0	4	1
TCGA-3A-A9IN-01A-11D-A397-08	0	7	5	0	13
TCGA-3A-A9IO-01A-11D-A38G-08	0	0	0	8	0
TCGA-3A-A9IR-01A-11D-A38G-08	3	14	0	0	0
TCGA-3A-A9IS-01A-21D-A397-08	3	5	0	0	24
TCGA-3A-A9IU-01A-11D-A397-08	0	16	3	14	2
TCGA-3A-A9IV-01A-11D-A40W-08	4	0	0	33	8
TCGA-3A-A9IX-01A-11D-A40W-08	0	0	11	0	3
TCGA-3A-A9IZ-01A-12D-A40W-08	0	2	5	33	18
TCGA-3A-A9J0-01A-11D-A40W-08	7	0	40	38	0
TCGA-3E-AAAY-01A-11D-A38G-08	2	0	19	0	6
TCGA-3E-AAAZ-01A-11D-A38G-08	1	36	0	13	0
TCGA-F2-6879-01A-11D-2154-08	1	22	9	3	0
TCGA-F2-6880-01A-11D-2154-08	0	0	0	0	1
TCGA-F2-7273-01A-11D-2154-08	0	0	0	0	1
TCGA-F2-A44G-01A-11D-A26I-08	0	11	15	19	1
TCGA-F2-A44H-01A-11D-A26I-08	0	0	9	0	9
TCGA-F2-A7TX-01A-33D-A38G-08	0	32	2	0	11
TCGA-F2-A8YN-01A-11D-A377-08	5	0	20	12	16
TCGA-FB-A4P6-01A-12D-A26I-08	0	0	0	0	1
TCGA-FB-A5VM-01A-11D-A32N-08	0	20	10	3	22
TCGA-FB-A78T-01A-12D-A32N-08	7	5	19	0	16
TCGA-FB-A7DR-01A-21D-A33T-08	0	0	15	21	1
TCGA-FB-AAPP-01A-12D-A40W-08	17	6	64	22	0
TCGA-FB-AAPQ-01A-11D-A40W-08	7	0	17	0	15
TCGA-FB-AAPS-01A-12D-A397-08	10	0	9	7	1
TCGA-FB-AAPU-01A-31D-A40W-08	18	19	7	0	36
TCGA-FB-AAPY-01A-11D-A40W-08	8	6	17	0	0
TCGA-FB-AAPZ-01A-11D-A40W-08	0	12	18	12	0
TCGA-FB-AAQ0-01A-31D-A40W-08	0	9	20	0	13
TCGA-FB-AAQ1-01A-12D-A40W-08	12	0	25	0	0
TCGA-FB-AAQ2-01A-31D-A40W-08	3	0	33	0	0
TCGA-FB-AAQ3-01A-11D-A40W-08	4	0	9	26	0
TCGA-FB-AAQ6-01A-11D-A40W-08	0	55	0	0	6
TCGA-FZ-5919-01A-11D-1609-08	7	0	7	15	0
TCGA-FZ-5920-01A-11D-1609-08	14	31	10	0	0
TCGA-FZ-5921-01A-11D-1609-08	3	0	39	29	0
TCGA-FZ-5922-01A-11D-1609-08	2	2	14	0	21
TCGA-FZ-5923-01A-12D-1609-08	7	0	31	26	0
TCGA-FZ-5924-01A-13D-1609-08	4	21	9	6	0
TCGA-FZ-5926-01A-11D-1609-08	0	23	2	0	3
TCGA-H6-8124-01A-11D-2396-08	2	13	10	10	0
TCGA-H6-A45N-01A-11D-A26I-08	0	0	4	0	20
TCGA-H8-A6C1-01A-11D-A32N-08	3	7	15	0	0
TCGA-HV-A5A3-01A-11D-A26I-08	4	29	5	0	0
TCGA-HV-A5A4-01A-11D-A26I-08	10	0	27	0	2
TCGA-HV-A5A5-01A-11D-A26I-08	2	3	2	0	11
TCGA-HV-A5A6-01A-11D-A26I-08	6	32	8	0	0
TCGA-HV-A7OL-01A-11D-A33T-08	0	0	20	31	0
TCGA-HV-A7OP-01A-11D-A33T-08	3	24	6	30	34
TCGA-HV-AA8V-01A-11D-A40W-08	0	0	20	10	4
TCGA-HV-AA8X-01A-11D-A397-08	16	24	4	6	0
TCGA-HZ-7289-01A-11D-2154-08	8	70	0	0	2
TCGA-HZ-7918-01A-11D-2154-08	16	0	0	0	109
TCGA-HZ-7919-01A-11D-2154-08	0	0	10	0	50
TCGA-HZ-7920-01A-11D-2201-08	0	0	0	0	1
TCGA-HZ-7922-01A-11D-2154-08	5	0	33	0	7
TCGA-HZ-7925-01A-11D-2154-08	11	0	13	2	0
TCGA-HZ-7926-01A-11D-2154-08	11	0	14	1	11
TCGA-HZ-8001-01A-11D-2201-08	2	23	4	18	0
TCGA-HZ-8002-01A-11D-2201-08	4	0	4	0	1
TCGA-HZ-8003-01A-21D-2201-08	3	0	3	0	7
TCGA-HZ-8005-01A-11D-2201-08	0	30	11	8	6
TCGA-HZ-8315-01A-11D-2396-08	0	0	16	28	17
