Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2J-AAB1-01A-11D-A40W-08	3	16	32	9	0	0
TCGA-2J-AAB4-01A-12D-A40W-08	0	16	0	10	1	6
TCGA-2J-AAB6-01A-11D-A40W-08	2	0	30	28	0	2
TCGA-2J-AAB8-01A-12D-A40W-08	0	30	0	0	11	9
TCGA-2J-AAB9-01A-11D-A40W-08	5	5	0	5	0	4
TCGA-2J-AABA-01A-21D-A40W-08	0	0	13	5	1	6
TCGA-2J-AABE-01A-12D-A40W-08	6	12	0	0	15	4
TCGA-2J-AABF-01A-31D-A40W-08	0	43	0	4	0	3
TCGA-2J-AABH-01A-21D-A40W-08	0	18	25	0	0	2
TCGA-2J-AABI-01A-12D-A40W-08	1	13	15	1	4	2
TCGA-2J-AABK-01A-31D-A40W-08	0	23	2	1	0	11
TCGA-2J-AABO-01A-21D-A40W-08	19	32	3	12	0	0
TCGA-2J-AABP-01A-11D-A40W-08	0	0	0	34	78	0
TCGA-2J-AABR-01A-11D-A40W-08	0	0	0	2	0	4
TCGA-2J-AABT-01A-11D-A40W-08	1	0	0	11	6	3
TCGA-2J-AABV-01A-12D-A40W-08	0	4	2	0	1	0
TCGA-2L-AAQA-01A-21D-A38G-08	0	0	41	18	0	0
TCGA-2L-AAQE-01A-11D-A397-08	0	33	0	0	0	3
TCGA-2L-AAQI-01A-12D-A397-08	0	23	0	0	12	0
TCGA-2L-AAQJ-01A-12D-A397-08	7	0	0	69	0	10
TCGA-2L-AAQL-01A-11D-A38G-08	5	52	0	2	0	2
TCGA-2L-AAQM-01A-11D-A397-08	0	0	0	0	30	0
TCGA-3A-A9I5-01A-11D-A38G-08	2	0	16	8	0	0
TCGA-3A-A9I7-01A-21D-A38G-08	4	0	7	2	0	1
TCGA-3A-A9I9-01A-11D-A38G-08	5	0	18	15	0	67
TCGA-3A-A9IB-01A-21D-A397-08	3	0	12	6	0	18
TCGA-3A-A9IC-01A-11D-A38G-08	0	0	0	6	30	0
TCGA-3A-A9IH-01A-12D-A397-08	3	8	15	24	0	2
TCGA-3A-A9IJ-01A-11D-A397-08	2	0	11	0	6	0
TCGA-3A-A9IL-01A-11D-A38G-08	0	0	0	0	4	1
TCGA-3A-A9IN-01A-11D-A397-08	1	2	0	6	0	16
TCGA-3A-A9IO-01A-11D-A38G-08	0	0	0	0	8	0
TCGA-3A-A9IR-01A-11D-A38G-08	4	9	4	0	0	0
TCGA-3A-A9IS-01A-21D-A397-08	0	0	15	0	0	17
TCGA-3A-A9IU-01A-11D-A397-08	0	15	13	0	5	2
TCGA-3A-A9IV-01A-11D-A40W-08	0	0	12	0	31	2
TCGA-3A-A9IX-01A-11D-A40W-08	0	0	0	11	0	3
TCGA-3A-A9IZ-01A-12D-A40W-08	0	20	0	0	22	16
TCGA-3A-A9J0-01A-11D-A40W-08	8	30	0	27	20	0
TCGA-3E-AAAY-01A-11D-A38G-08	2	0	0	19	1	5
TCGA-3E-AAAZ-01A-11D-A38G-08	0	27	20	0	2	1
TCGA-F2-6879-01A-11D-2154-08	2	21	6	6	0	0
TCGA-F2-6880-01A-11D-2154-08	0	0	0	0	0	1
TCGA-F2-7273-01A-11D-2154-08	0	0	0	0	0	1
TCGA-F2-A44G-01A-11D-A26I-08	0	6	10	15	15	0
TCGA-F2-A44H-01A-11D-A26I-08	0	0	0	8	2	8
TCGA-F2-A7TX-01A-33D-A38G-08	2	19	4	5	0	15
TCGA-F2-A8YN-01A-11D-A377-08	2	0	8	18	14	11
TCGA-FB-A4P6-01A-12D-A26I-08	0	0	1	0	0	0
TCGA-FB-A5VM-01A-11D-A32N-08	1	27	0	6	2	19
TCGA-FB-A78T-01A-12D-A32N-08	6	13	0	13	0	15
TCGA-FB-A7DR-01A-21D-A33T-08	0	23	0	5	9	0
TCGA-FB-AAPP-01A-12D-A40W-08	4	28	35	42	0	0
TCGA-FB-AAPQ-01A-11D-A40W-08	1	0	14	13	5	6
TCGA-FB-AAPS-01A-12D-A397-08	2	0	20	4	1	0
TCGA-FB-AAPU-01A-31D-A40W-08	18	32	0	0	0	30
TCGA-FB-AAPY-01A-11D-A40W-08	0	1	18	12	0	0
TCGA-FB-AAPZ-01A-11D-A40W-08	0	38	0	4	0	0
TCGA-FB-AAQ0-01A-31D-A40W-08	0	16	0	15	0	11
TCGA-FB-AAQ1-01A-12D-A40W-08	3	0	15	19	0	0
TCGA-FB-AAQ2-01A-31D-A40W-08	3	0	0	31	2	0
TCGA-FB-AAQ3-01A-11D-A40W-08	3	26	0	0	10	0
TCGA-FB-AAQ6-01A-11D-A40W-08	0	12	38	6	0	5
TCGA-FZ-5919-01A-11D-1609-08	4	0	7	6	12	0
TCGA-FZ-5920-01A-11D-1609-08	2	0	40	13	0	0
TCGA-FZ-5921-01A-11D-1609-08	6	8	0	35	22	0
TCGA-FZ-5922-01A-11D-1609-08	0	0	11	11	0	17
TCGA-FZ-5923-01A-12D-1609-08	2	16	15	19	12	0
TCGA-FZ-5924-01A-13D-1609-08	0	9	21	9	1	0
TCGA-FZ-5926-01A-11D-1609-08	0	14	13	1	0	0
TCGA-H6-8124-01A-11D-2396-08	1	24	8	2	0	0
TCGA-H6-A45N-01A-11D-A26I-08	0	0	2	3	2	17
TCGA-H8-A6C1-01A-11D-A32N-08	0	5	9	11	0	0
TCGA-HV-A5A3-01A-11D-A26I-08	3	17	12	6	0	0
TCGA-HV-A5A4-01A-11D-A26I-08	5	0	12	22	0	0
TCGA-HV-A5A5-01A-11D-A26I-08	0	0	12	0	0	6
TCGA-HV-A5A6-01A-11D-A26I-08	0	7	30	9	0	0
TCGA-HV-A7OL-01A-11D-A33T-08	0	12	0	16	23	0
TCGA-HV-A7OP-01A-11D-A33T-08	0	0	19	13	44	21
TCGA-HV-AA8V-01A-11D-A40W-08	0	0	0	19	14	1
TCGA-HV-AA8X-01A-11D-A397-08	11	15	21	3	0	0
TCGA-HZ-7289-01A-11D-2154-08	11	0	22	23	22	2
TCGA-HZ-7918-01A-11D-2154-08	19	0	0	0	0	106
TCGA-HZ-7919-01A-11D-2154-08	0	0	0	9	0	51
TCGA-HZ-7920-01A-11D-2201-08	0	0	0	0	0	1
TCGA-HZ-7922-01A-11D-2154-08	7	0	0	31	0	7
TCGA-HZ-7925-01A-11D-2154-08	5	0	12	9	0	0
TCGA-HZ-7926-01A-11D-2154-08	8	0	6	12	4	7
TCGA-HZ-8001-01A-11D-2201-08	4	14	4	8	17	0
TCGA-HZ-8002-01A-11D-2201-08	2	0	4	3	0	0
TCGA-HZ-8003-01A-21D-2201-08	0	2	7	0	0	4
TCGA-HZ-8005-01A-11D-2201-08	0	8	16	16	8	7
TCGA-HZ-8315-01A-11D-2396-08	0	33	0	1	10	17
TCGA-HZ-8317-01A-11D-2396-08	0	0	0	5	0	8
TCGA-HZ-8636-01A-21D-2396-08	0	22	0	13	0	11
TCGA-HZ-8637-01A-11D-2396-08	0	17	0	9	5	0
TCGA-HZ-A49H-01A-11D-A26I-08	0	6	0	0	4	0
TCGA-HZ-A49I-01A-12D-A26I-08	0	0	8	26	0	11
TCGA-HZ-A4BH-01A-11D-A26I-08	0	27	0	8	29	0
TCGA-HZ-A4BK-01A-11D-A26I-08	3	24	6	9	0	10
TCGA-HZ-A77O-01A-11D-A33T-08	0	5	11	3	8	0
TCGA-HZ-A77P-01A-11D-A33T-08	0	43	0	0	0	0
TCGA-HZ-A77Q-01A-11D-A36O-08	3	0	0	31	15	2
TCGA-HZ-A8P0-01A-11D-A36O-08	12	0	0	14	13	0
TCGA-HZ-A8P1-01A-11D-A377-08	0	33	0	0	11	13
TCGA-HZ-A9TJ-01A-11D-A40W-08	0	51	0	15	13	8
TCGA-IB-7644-01A-11D-2154-08	0	8	0	6	0	16
TCGA-IB-7645-01A-22D-2201-08	1	6	0	10	12	0
TCGA-IB-7646-01A-11D-2154-08	0	0	6	34	13	8
TCGA-IB-7647-01A-11D-2154-08	0	0	27	16	2	4
TCGA-IB-7649-01A-11D-2154-08	3	0	30	1	3	0
TCGA-IB-7651-01A-11D-2154-08	13718	1944	1686	33	0	0
TCGA-IB-7652-01A-11D-2154-08	14	0	33	13	27	1
TCGA-IB-7654-01A-11D-2154-08	0	13	0	22	0	4
TCGA-IB-7885-01A-11D-2154-08	0	32	0	0	8	4
TCGA-IB-7886-01A-11D-2154-08	3	0	10	32	1	3
TCGA-IB-7887-01A-11D-2154-08	1	19	0	0	0	6
TCGA-IB-7888-01A-11D-2154-08	1	9	0	8	4	5
TCGA-IB-7889-01A-11D-2154-08	0	40	0	0	4	0
TCGA-IB-7890-01A-12D-2201-08	3	22	24	16	0	0
TCGA-IB-7891-01A-11D-2201-08	0	21	0	5	0	0
TCGA-IB-7893-01A-11D-2201-08	1	0	17	13	6	0
TCGA-IB-7897-01A-21D-2201-08	0	3	0	0	0	0
TCGA-IB-8126-01A-11D-2396-08	6	4	0	0	0	2
TCGA-IB-8127-01A-11D-2396-08	1	0	0	37	3	0
TCGA-IB-A5SO-01A-11D-A32N-08	0	8	6	6	0	6
TCGA-IB-A5SP-01A-11D-A32N-08	0	36	0	0	0	7
TCGA-IB-A5SQ-01A-11D-A32N-08	11	4	3	14	0	3
TCGA-IB-A5SS-01A-11D-A32N-08	5	0	0	17	7	6
TCGA-IB-A5ST-01A-11D-A32N-08	0	0	0	2	5	0
TCGA-IB-A6UF-01A-23D-A33T-08	0	21	0	17	13	0
TCGA-IB-A6UG-01A-32D-A33T-08	14	0	0	52	0	1
TCGA-IB-A7LX-01A-12D-A36O-08	0	2	21	0	10	3
TCGA-IB-A7M4-01A-11D-A36O-08	0	0	0	34	8	12
TCGA-IB-AAUM-01A-11D-A377-08	0	9	0	1	1	4
TCGA-IB-AAUN-01A-12D-A38G-08	0	7	9	8	0	2
TCGA-IB-AAUO-01A-12D-A38G-08	10	19	0	10	0	4
TCGA-IB-AAUP-01A-11D-A377-08	0	0	0	24	0	9
TCGA-IB-AAUQ-01A-22D-A40W-08	0	4	24	22	0	10
TCGA-IB-AAUR-01A-21D-A38G-08	4	0	0	0	0	0
TCGA-IB-AAUS-01A-12D-A38G-08	0	0	0	0	1	0
TCGA-IB-AAUT-01A-11D-A377-08	0	0	0	0	0	1
TCGA-IB-AAUU-01A-11D-A377-08	8	9	5	14	0	5
TCGA-IB-AAUW-01A-12D-A38G-08	0	0	1	0	0	0
TCGA-LB-A7SX-01A-11D-A33T-08	0	15	0	0	69	24
TCGA-LB-A8F3-01A-11D-A36O-08	0	0	14	0	17	5
TCGA-LB-A9Q5-01A-11D-A397-08	1	0	5	1	7	0
TCGA-M8-A5N4-01A-11D-A26I-08	0	26	0	7	0	0
TCGA-OE-A75W-01A-12D-A32N-08	2	5	77	2	0	0
TCGA-PZ-A5RE-01A-11D-A32N-08	0	7	0	12	0	6
TCGA-Q3-A5QY-01A-12D-A32N-08	0	0	2	0	0	0
TCGA-Q3-AA2A-01A-11D-A377-08	10	0	0	7	0	6
TCGA-RB-A7B8-01A-12D-A33T-08	3	0	12	33	0	0
TCGA-RB-AA9M-01A-11D-A397-08	0	17	0	0	6	0
TCGA-S4-A8RM-01A-11D-A377-08	5	0	10	23	0	5
TCGA-S4-A8RO-01A-12D-A377-08	7	19	0	35	0	0
TCGA-S4-A8RP-01A-11D-A36O-08	0	0	13	0	16	0
TCGA-US-A774-01A-21D-A32N-08	2	0	2	8	9	0
