Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-2J-AAB1-01A-11D-A40W-08	4.91E-01	1.21E+00	1.13E+00	1.01E+00	8.32E-01	6.29E-01
TCGA-2J-AAB4-01A-12D-A40W-08	4.00E-02	9.12E-01	5.57E-01	7.64E-01	5.00E-01	5.31E-01
TCGA-2J-AAB6-01A-11D-A40W-08	5.32E-01	1.11E+00	1.09E+00	1.19E+00	7.73E-01	6.21E-01
TCGA-2J-AAB8-01A-12D-A40W-08	3.43E-01	1.22E+00	6.34E-01	8.07E-01	9.02E-01	7.43E-01
TCGA-2J-AAB9-01A-11D-A40W-08	5.15E-01	4.10E-01	3.60E-01	4.02E-01	2.77E-01	2.34E-01
TCGA-2J-AABA-01A-21D-A40W-08	3.38E-01	4.53E-01	6.19E-01	4.49E-01	3.98E-01	5.43E-01
TCGA-2J-AABE-01A-12D-A40W-08	4.94E-01	5.91E-01	7.13E-01	4.31E-01	7.81E-01	7.40E-01
TCGA-2J-AABF-01A-31D-A40W-08	4.51E-01	1.21E+00	8.55E-01	1.03E+00	6.58E-01	4.70E-01
TCGA-2J-AABH-01A-21D-A40W-08	3.12E-01	9.66E-01	9.90E-01	7.01E-01	8.76E-01	6.07E-01
TCGA-2J-AABI-01A-12D-A40W-08	3.63E-01	7.47E-01	6.53E-01	7.65E-01	6.70E-01	5.77E-01
TCGA-2J-AABK-01A-31D-A40W-08	1.80E-01	8.72E-01	7.29E-01	7.66E-01	5.27E-01	5.73E-01
TCGA-2J-AABO-01A-21D-A40W-08	8.39E-01	1.44E+00	1.01E+00	1.38E+00	4.89E-01	1.78E-01
TCGA-2J-AABP-01A-11D-A40W-08	4.68E-01	1.78E+00	2.03E+00	1.62E+00	2.63E+00	1.88E+00
TCGA-2J-AABR-01A-11D-A40W-08	9.18E-02	1.78E-01	1.92E-01	1.48E-01	1.70E-01	2.16E-01
TCGA-2J-AABT-01A-11D-A40W-08	4.45E-01	5.16E-01	4.41E-01	4.62E-01	4.10E-01	2.53E-01
TCGA-2J-AABV-01A-12D-A40W-08	0.00E+00	2.29E-01	2.07E-01	2.07E-01	2.16E-01	1.23E-01
TCGA-2L-AAQA-01A-21D-A38G-08	2.08E-01	1.22E+00	9.81E-01	1.31E+00	6.39E-01	3.89E-01
TCGA-2L-AAQE-01A-11D-A397-08	5.00E-02	8.28E-01	5.75E-01	6.92E-01	6.68E-01	6.01E-01
TCGA-2L-AAQI-01A-12D-A397-08	3.88E-01	9.73E-01	5.44E-01	6.55E-01	8.40E-01	5.00E-01
TCGA-2L-AAQJ-01A-12D-A397-08	8.80E-01	1.46E+00	1.06E+00	1.47E+00	7.24E-01	5.79E-01
TCGA-2L-AAQL-01A-11D-A38G-08	8.33E-01	1.33E+00	1.03E+00	1.22E+00	7.27E-01	7.23E-01
TCGA-2L-AAQM-01A-11D-A397-08	2.83E-01	5.13E-01	6.42E-01	1.80E-01	9.06E-01	7.46E-01
TCGA-3A-A9I5-01A-11D-A38G-08	3.56E-01	4.61E-01	6.11E-01	5.10E-01	4.98E-01	2.86E-01
TCGA-3A-A9I7-01A-21D-A38G-08	2.77E-01	3.19E-01	3.59E-01	2.99E-01	2.00E-01	2.64E-01
