Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-2J-AAB1-01A-11D-A40W-08	2	26	21	4	0	0	7
TCGA-2J-AAB4-01A-12D-A40W-08	0	0	2	14	8	2	7
TCGA-2J-AAB6-01A-11D-A40W-08	0	24	0	24	0	0	14
TCGA-2J-AAB8-01A-12D-A40W-08	0	0	13	7	21	9	0
TCGA-2J-AAB9-01A-11D-A40W-08	4	0	1	7	0	1	6
TCGA-2J-AABA-01A-21D-A40W-08	0	8	0	5	0	5	7
TCGA-2J-AABE-01A-12D-A40W-08	3	0	5	1	9	0	19
TCGA-2J-AABF-01A-31D-A40W-08	0	0	39	5	0	6	0
TCGA-2J-AABH-01A-21D-A40W-08	0	13	15	0	0	2	15
TCGA-2J-AABI-01A-12D-A40W-08	0	17	8	0	9	2	0
TCGA-2J-AABK-01A-31D-A40W-08	0	0	21	2	0	11	3
TCGA-2J-AABO-01A-21D-A40W-08	15	10	39	2	0	0	0
TCGA-2J-AABP-01A-11D-A40W-08	0	0	0	29	52	0	31
TCGA-2J-AABR-01A-11D-A40W-08	0	0	0	1	0	0	5
TCGA-2J-AABT-01A-11D-A40W-08	1	0	0	10	1	2	7
TCGA-2J-AABV-01A-12D-A40W-08	0	2	3	0	2	0	0
TCGA-2L-AAQA-01A-21D-A38G-08	0	42	0	14	3	0	0
TCGA-2L-AAQE-01A-11D-A397-08	0	0	13	8	14	1	0
TCGA-2L-AAQI-01A-12D-A397-08	0	0	17	0	18	0	0
TCGA-2L-AAQJ-01A-12D-A397-08	7	0	0	67	0	5	7
TCGA-2L-AAQL-01A-11D-A38G-08	5	0	49	3	0	4	0
TCGA-2L-AAQM-01A-11D-A397-08	0	0	0	0	9	0	21
TCGA-3A-A9I5-01A-11D-A38G-08	1	19	0	6	0	0	0
TCGA-3A-A9I7-01A-21D-A38G-08	3	2	0	2	0	0	7
TCGA-3A-A9I9-01A-11D-A38G-08	3	29	0	11	0	62	0
TCGA-3A-A9IB-01A-21D-A397-08	0	19	4	0	0	16	0
TCGA-3A-A9IC-01A-11D-A38G-08	0	3	0	4	26	0	3
TCGA-3A-A9IH-01A-12D-A397-08	5	9	8	24	0	2	4
TCGA-3A-A9IJ-01A-11D-A397-08	3	2	0	0	0	0	14
TCGA-3A-A9IL-01A-11D-A38G-08	0	0	0	0	4	0	1
TCGA-3A-A9IN-01A-11D-A397-08	0	0	0	7	0	12	6
TCGA-3A-A9IO-01A-11D-A38G-08	0	0	0	0	8	0	0
TCGA-3A-A9IR-01A-11D-A38G-08	5	2	10	0	0	0	0
TCGA-3A-A9IS-01A-21D-A397-08	0	5	0	0	0	9	18
TCGA-3A-A9IU-01A-11D-A397-08	0	8	12	1	7	0	7
TCGA-3A-A9IV-01A-11D-A40W-08	0	6	0	0	17	1	21
TCGA-3A-A9IX-01A-11D-A40W-08	0	0	0	11	0	3	0
TCGA-3A-A9IZ-01A-12D-A40W-08	0	0	16	0	24	18	0
TCGA-3A-A9J0-01A-11D-A40W-08	4	10	30	20	21	0	0
TCGA-3E-AAAY-01A-11D-A38G-08	0	0	0	14	0	0	13
TCGA-3E-AAAZ-01A-11D-A38G-08	0	16	24	0	7	3	0
TCGA-F2-6879-01A-11D-2154-08	2	6	20	5	0	0	2
TCGA-F2-6880-01A-11D-2154-08	0	0	0	0	0	0	1
TCGA-F2-7273-01A-11D-2154-08	0	0	0	0	0	1	0
TCGA-F2-A44G-01A-11D-A26I-08	0	13	12	8	9	4	0
TCGA-F2-A44H-01A-11D-A26I-08	0	0	0	5	0	0	13
TCGA-F2-A7TX-01A-33D-A38G-08	3	2	19	6	0	15	0
TCGA-F2-A8YN-01A-11D-A377-08	0	15	0	14	10	6	8
TCGA-FB-A4P6-01A-12D-A26I-08	0	0	0	0	0	0	1
TCGA-FB-A5VM-01A-11D-A32N-08	2	0	29	3	0	21	0
TCGA-FB-A78T-01A-12D-A32N-08	6	1	18	9	0	13	0
TCGA-FB-A7DR-01A-21D-A33T-08	0	0	1	12	12	0	12
TCGA-FB-AAPP-01A-12D-A40W-08	0	42	42	25	0	0	0
TCGA-FB-AAPQ-01A-11D-A40W-08	1	10	0	11	0	5	12
TCGA-FB-AAPS-01A-12D-A397-08	0	24	0	0	3	0	0
TCGA-FB-AAPU-01A-31D-A40W-08	19	0	29	0	0	28	4
TCGA-FB-AAPY-01A-11D-A40W-08	0	18	4	9	0	0	0
TCGA-FB-AAPZ-01A-11D-A40W-08	0	0	42	0	0	0	0
TCGA-FB-AAQ0-01A-31D-A40W-08	0	0	8	17	4	7	6
TCGA-FB-AAQ1-01A-12D-A40W-08	0	22	0	15	0	0	0
TCGA-FB-AAQ2-01A-31D-A40W-08	3	0	0	29	4	0	0
TCGA-FB-AAQ3-01A-11D-A40W-08	5	0	24	0	10	0	0
TCGA-FB-AAQ6-01A-11D-A40W-08	0	31	14	3	0	9	4
TCGA-FZ-5919-01A-11D-1609-08	1	13	0	3	12	0	0
TCGA-FZ-5920-01A-11D-1609-08	1	41	6	5	0	2	0
TCGA-FZ-5921-01A-11D-1609-08	5	0	0	36	30	0	0
TCGA-FZ-5922-01A-11D-1609-08	0	7	0	11	0	15	6
TCGA-FZ-5923-01A-12D-1609-08	0	24	18	10	12	0	0
TCGA-FZ-5924-01A-13D-1609-08	0	19	5	9	7	0	0
TCGA-FZ-5926-01A-11D-1609-08	0	10	15	0	0	3	0
TCGA-H6-8124-01A-11D-2396-08	0	9	25	0	1	0	0
TCGA-H6-A45N-01A-11D-A26I-08	0	0	0	2	0	13	9
TCGA-H8-A6C1-01A-11D-A32N-08	0	10	3	12	0	0	0
TCGA-HV-A5A3-01A-11D-A26I-08	5	7	13	8	0	2	3
TCGA-HV-A5A4-01A-11D-A26I-08	4	14	3	18	0	0	0
TCGA-HV-A5A5-01A-11D-A26I-08	0	9	0	0	0	6	3
TCGA-HV-A5A6-01A-11D-A26I-08	0	32	14	0	0	0	0
TCGA-HV-A7OL-01A-11D-A33T-08	0	0	2	19	30	0	0
TCGA-HV-A7OP-01A-11D-A33T-08	0	11	13	4	12	18	39
TCGA-HV-AA8V-01A-11D-A40W-08	0	0	0	16	7	0	11
TCGA-HV-AA8X-01A-11D-A397-08	9	22	15	0	4	0	0
TCGA-HZ-7289-01A-11D-2154-08	12	0	6	20	0	0	42
TCGA-HZ-7918-01A-11D-2154-08	20	0	0	0	0	95	10
TCGA-HZ-7919-01A-11D-2154-08	0	0	4	7	0	49	0
TCGA-HZ-7920-01A-11D-2201-08	0	0	0	0	0	0	1
TCGA-HZ-7922-01A-11D-2154-08	4	0	0	28	0	0	13
TCGA-HZ-7925-01A-11D-2154-08	2	18	0	6	0	0	0
TCGA-HZ-7926-01A-11D-2154-08	8	6	0	9	2	7	5
TCGA-HZ-8001-01A-11D-2201-08	2	8	21	1	9	0	6
TCGA-HZ-8002-01A-11D-2201-08	2	4	0	3	0	0	0
TCGA-HZ-8003-01A-21D-2201-08	0	6	1	0	0	6	0
TCGA-HZ-8005-01A-11D-2201-08	0	13	14	10	5	7	6
TCGA-HZ-8315-01A-11D-2396-08	0	0	30	0	13	18	0
TCGA-HZ-8317-01A-11D-2396-08	0	0	0	6	0	7	0
TCGA-HZ-8636-01A-21D-2396-08	0	0	7	20	11	8	0
TCGA-HZ-8637-01A-11D-2396-08	0	0	20	6	3	2	0
TCGA-HZ-A49H-01A-11D-A26I-08	0	0	6	0	4	0	0
TCGA-HZ-A49I-01A-12D-A26I-08	0	2	0	23	0	2	18
TCGA-HZ-A4BH-01A-11D-A26I-08	0	0	10	16	38	0	0
TCGA-HZ-A4BK-01A-11D-A26I-08	2	7	23	7	3	10	0
TCGA-HZ-A77O-01A-11D-A33T-08	0	10	7	0	6	0	4
TCGA-HZ-A77P-01A-11D-A33T-08	0	0	43	0	0	0	0
TCGA-HZ-A77Q-01A-11D-A36O-08	3	0	0	28	10	1	9
TCGA-HZ-A8P0-01A-11D-A36O-08	10	1	0	12	5	0	11
TCGA-HZ-A8P1-01A-11D-A377-08	0	0	29	0	15	13	0
TCGA-HZ-A9TJ-01A-11D-A40W-08	0	0	33	22	26	6	0
TCGA-IB-7644-01A-11D-2154-08	1	0	2	8	3	12	4
TCGA-IB-7645-01A-22D-2201-08	0	0	0	12	12	0	5
TCGA-IB-7646-01A-11D-2154-08	0	12	0	29	8	7	5
TCGA-IB-7647-01A-11D-2154-08	0	28	0	11	4	6	0
TCGA-IB-7649-01A-11D-2154-08	2	29	0	0	6	0	0
TCGA-IB-7651-01A-11D-2154-08	13559	2254	1233	86	249	0	0
TCGA-IB-7652-01A-11D-2154-08	11	37	0	6	19	3	12
TCGA-IB-7654-01A-11D-2154-08	0	0	9	25	0	5	0
TCGA-IB-7885-01A-11D-2154-08	0	0	27	0	7	3	7
TCGA-IB-7886-01A-11D-2154-08	2	6	0	28	0	0	13
TCGA-IB-7887-01A-11D-2154-08	1	0	18	0	1	6	0
TCGA-IB-7888-01A-11D-2154-08	1	0	3	9	4	2	8
TCGA-IB-7889-01A-11D-2154-08	0	0	36	0	8	0	0
TCGA-IB-7890-01A-12D-2201-08	2	23	30	8	0	2	0
TCGA-IB-7891-01A-11D-2201-08	0	0	20	6	0	0	0
TCGA-IB-7893-01A-11D-2201-08	0	24	9	3	1	0	0
TCGA-IB-7897-01A-21D-2201-08	0	0	3	0	0	0	0
TCGA-IB-8126-01A-11D-2396-08	4	0	0	2	0	0	6
TCGA-IB-8127-01A-11D-2396-08	2	0	0	34	5	0	0
TCGA-IB-A5SO-01A-11D-A32N-08	0	5	9	5	0	7	0
TCGA-IB-A5SP-01A-11D-A32N-08	0	0	34	0	2	7	0
TCGA-IB-A5SQ-01A-11D-A32N-08	11	2	2	15	0	5	0
TCGA-IB-A5SS-01A-11D-A32N-08	4	0	0	17	11	2	1
TCGA-IB-A5ST-01A-11D-A32N-08	0	3	0	1	3	0	0
TCGA-IB-A6UF-01A-23D-A33T-08	0	0	28	12	11	0	0
TCGA-IB-A6UG-01A-32D-A33T-08	11	10	0	46	0	0	0
TCGA-IB-A7LX-01A-12D-A36O-08	0	19	0	0	10	7	0
TCGA-IB-A7M4-01A-11D-A36O-08	0	0	0	33	14	7	0
TCGA-IB-AAUM-01A-11D-A377-08	0	0	10	0	0	4	1
TCGA-IB-AAUN-01A-12D-A38G-08	0	5	5	9	0	1	6
TCGA-IB-AAUO-01A-12D-A38G-08	9	0	10	14	0	1	9
TCGA-IB-AAUP-01A-11D-A377-08	0	0	0	25	0	7	1
TCGA-IB-AAUQ-01A-22D-A40W-08	0	26	10	13	0	11	0
TCGA-IB-AAUR-01A-21D-A38G-08	4	0	0	0	0	0	0
TCGA-IB-AAUS-01A-12D-A38G-08	0	0	0	0	0	0	1
TCGA-IB-AAUT-01A-11D-A377-08	0	0	0	0	0	0	1
TCGA-IB-AAUU-01A-11D-A377-08	6	9	11	10	0	5	0
TCGA-IB-AAUW-01A-12D-A38G-08	0	0	0	0	0	0	1
TCGA-LB-A7SX-01A-11D-A33T-08	0	0	10	0	66	32	0
TCGA-LB-A8F3-01A-11D-A36O-08	0	7	0	0	9	3	17
TCGA-LB-A9Q5-01A-11D-A397-08	1	6	0	0	6	1	0
TCGA-M8-A5N4-01A-11D-A26I-08	0	0	28	5	0	0	0
