Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-2J-AAB1-01A-11D-A40W-08	0	21	9	6	10	4	0	1	9
TCGA-2J-AAB4-01A-12D-A40W-08	0	0	0	5	12	5	7	1	3
TCGA-2J-AAB6-01A-11D-A40W-08	0	13	0	0	0	49	0	0	0
TCGA-2J-AAB8-01A-12D-A40W-08	0	0	22	7	0	7	11	3	0
TCGA-2J-AAB9-01A-11D-A40W-08	3	0	3	0	5	0	0	1	7
TCGA-2J-AABA-01A-21D-A40W-08	0	4	0	0	1	9	11	0	0
TCGA-2J-AABE-01A-12D-A40W-08	0	0	11	2	0	2	2	0	20
TCGA-2J-AABF-01A-31D-A40W-08	0	0	24	2	14	0	8	2	0
TCGA-2J-AABH-01A-21D-A40W-08	0	11	9	0	7	0	18	0	0
TCGA-2J-AABI-01A-12D-A40W-08	2	9	0	12	6	0	4	3	0
TCGA-2J-AABK-01A-31D-A40W-08	0	3	18	0	4	0	0	12	0
TCGA-2J-AABO-01A-21D-A40W-08	12	10	14	14	16	0	0	0	0
TCGA-2J-AABP-01A-11D-A40W-08	0	0	0	16	26	0	0	0	70
TCGA-2J-AABR-01A-11D-A40W-08	0	0	0	0	0	3	0	1	2
TCGA-2J-AABT-01A-11D-A40W-08	0	0	0	0	0	16	5	0	0
TCGA-2J-AABV-01A-12D-A40W-08	0	3	2	2	0	0	0	0	0
TCGA-2L-AAQA-01A-21D-A38G-08	0	31	0	5	10	13	0	0	0
TCGA-2L-AAQE-01A-11D-A397-08	0	0	8	6	10	0	1	1	10
TCGA-2L-AAQI-01A-12D-A397-08	0	0	15	19	1	0	0	0	0
TCGA-2L-AAQJ-01A-12D-A397-08	2	0	5	0	28	51	0	0	0
TCGA-2L-AAQL-01A-11D-A38G-08	2	0	44	0	9	0	3	3	0
TCGA-2L-AAQM-01A-11D-A397-08	0	0	0	3	0	0	0	0	27
TCGA-3A-A9I5-01A-11D-A38G-08	1	15	0	0	5	5	0	0	0
TCGA-3A-A9I7-01A-21D-A38G-08	3	2	0	0	0	7	2	0	0
TCGA-3A-A9I9-01A-11D-A38G-08	0	19	0	0	13	0	0	57	16
TCGA-3A-A9IB-01A-21D-A397-08	0	14	0	4	4	0	0	17	0
TCGA-3A-A9IC-01A-11D-A38G-08	0	0	0	14	0	8	0	0	14
TCGA-3A-A9IH-01A-12D-A397-08	1	12	17	0	18	0	0	4	0
TCGA-3A-A9IJ-01A-11D-A397-08	2	5	0	0	0	0	3	0	9
TCGA-3A-A9IL-01A-11D-A38G-08	0	0	0	0	0	0	0	0	5
TCGA-3A-A9IN-01A-11D-A397-08	0	0	7	0	0	8	0	10	0
