Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,YES,1.38e-10,25.9%,101.8%,199.7%,67.53%,118.16,1.2881,6.3949,0.314,0.992,0.63,-0.049
2*,0.99,0.98,YES,6.76e-02,3.18%,94.86%,199.6%,59.03%,117.72,1.1448,6.1482,0.258,0.99,0.7,-0.044
3,0.88,0.68,YES,Most Stab Sigs,2.57%,92.21%,199.5%,57.13%,100.8,1.0853,5.9496,0.235,0.982,0.723,-0.073
4,0.51,-0.29,NO,N/A,2.48%,91.64%,199.5%,56.37%,100.9,1.0688,5.9837,0.228,0.983,0.732,-0.07
5,0.35,-0.38,NO,N/A,3.25%,90.98%,199.5%,55.5%,101.0,1.0482,6.0071,0.221,0.985,0.742,-0.065
6,0.25,-0.21,NO,N/A,7.24%,88.86%,199.6%,53.11%,101.1,1.0295,6.1922,0.207,0.988,0.76,-0.065
7,0.2,-0.14,NO,N/A,5.62%,87.17%,199.4%,51.4%,100.6,1.0179,5.8828,0.199,0.979,0.769,-0.091
8,0.18,-0.1,NO,N/A,7.45%,86.2%,199.2%,50.1%,100.5,1.0022,5.5598,0.188,0.972,0.782,-0.074
9,0.15,-0.21,NO,N/A,9.72%,85.32%,199.3%,47.84%,101.4,0.9824,5.617,0.181,0.981,0.791,-0.043
10,0.15,-0.12,NO,N/A,6.17%,82.02%,199.3%,47.78%,101.7,0.9698,5.6738,0.174,0.983,0.8,-0.04
