Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS107
TCGA-2J-AAB1-01A-11D-A40W-08	19	29	0	0	12	0
TCGA-2J-AAB4-01A-12D-A40W-08	13	20	0	0	0	0
TCGA-2J-AAB6-01A-11D-A40W-08	24	38	0	0	0	0
TCGA-2J-AAB8-01A-12D-A40W-08	17	33	0	0	0	0
TCGA-2J-AAB9-01A-11D-A40W-08	7	12	0	0	0	0
TCGA-2J-AABA-01A-21D-A40W-08	4	14	0	0	7	0
TCGA-2J-AABE-01A-12D-A40W-08	6	31	0	0	0	0
TCGA-2J-AABF-01A-31D-A40W-08	28	22	0	0	0	0
TCGA-2J-AABH-01A-21D-A40W-08	16	29	0	0	0	0
TCGA-2J-AABI-01A-12D-A40W-08	10	11	0	6	9	0
TCGA-2J-AABK-01A-31D-A40W-08	14	23	0	0	0	0
TCGA-2J-AABO-01A-21D-A40W-08	27	1	0	10	0	28
TCGA-2J-AABP-01A-11D-A40W-08	31	81	0	0	0	0
TCGA-2J-AABR-01A-11D-A40W-08	1	5	0	0	0	0
TCGA-2J-AABT-01A-11D-A40W-08	7	14	0	0	0	0
TCGA-2J-AABV-01A-12D-A40W-08	3	4	0	0	0	0
TCGA-2L-AAQA-01A-21D-A38G-08	18	20	0	0	21	0
TCGA-2L-AAQE-01A-11D-A397-08	16	20	0	0	0	0
TCGA-2L-AAQI-01A-12D-A397-08	13	11	0	11	0	0
TCGA-2L-AAQJ-01A-12D-A397-08	47	39	0	0	0	0
TCGA-2L-AAQL-01A-11D-A38G-08	28	33	0	0	0	0
TCGA-2L-AAQM-01A-11D-A397-08	1	29	0	0	0	0
TCGA-3A-A9I5-01A-11D-A38G-08	10	5	0	0	0	11
TCGA-3A-A9I7-01A-21D-A38G-08	1	9	0	0	4	0
TCGA-3A-A9I9-01A-11D-A38G-08	21	84	0	0	0	0
TCGA-3A-A9IB-01A-21D-A397-08	6	19	0	0	14	0
TCGA-3A-A9IC-01A-11D-A38G-08	6	22	0	8	0	0
TCGA-3A-A9IH-01A-12D-A397-08	21	19	0	0	12	0
TCGA-3A-A9IJ-01A-11D-A397-08	0	12	0	0	7	0
TCGA-3A-A9IL-01A-11D-A38G-08	0	5	0	0	0	0
TCGA-3A-A9IN-01A-11D-A397-08	4	21	0	0	0	0
TCGA-3A-A9IO-01A-11D-A38G-08	0	5	0	3	0	0
TCGA-3A-A9IR-01A-11D-A38G-08	3	8	0	0	6	0
TCGA-3A-A9IS-01A-21D-A397-08	1	31	0	0	0	0
TCGA-3A-A9IU-01A-11D-A397-08	12	23	0	0	0	0
TCGA-3A-A9IV-01A-11D-A40W-08	4	34	0	7	0	0
TCGA-3A-A9IX-01A-11D-A40W-08	7	7	0	0	0	0
TCGA-3A-A9IZ-01A-12D-A40W-08	10	38	0	10	0	0
TCGA-3A-A9J0-01A-11D-A40W-08	40	28	0	17	0	0
TCGA-3E-AAAY-01A-11D-A38G-08	10	17	0	0	0	0
TCGA-3E-AAAZ-01A-11D-A38G-08	19	31	0	0	0	0
