Samples	SBS96A	SBS96B
TCGA-2J-AAB1-01A-11D-A40W-08	18	42
TCGA-2J-AAB4-01A-12D-A40W-08	0	33
TCGA-2J-AAB6-01A-11D-A40W-08	13	49
TCGA-2J-AAB8-01A-12D-A40W-08	0	50
TCGA-2J-AAB9-01A-11D-A40W-08	6	13
TCGA-2J-AABA-01A-21D-A40W-08	6	19
TCGA-2J-AABE-01A-12D-A40W-08	14	23
TCGA-2J-AABF-01A-31D-A40W-08	0	50
TCGA-2J-AABH-01A-21D-A40W-08	9	36
TCGA-2J-AABI-01A-12D-A40W-08	11	25
TCGA-2J-AABK-01A-31D-A40W-08	2	35
TCGA-2J-AABO-01A-21D-A40W-08	25	41
TCGA-2J-AABP-01A-11D-A40W-08	9	103
TCGA-2J-AABR-01A-11D-A40W-08	0	6
TCGA-2J-AABT-01A-11D-A40W-08	2	19
TCGA-2J-AABV-01A-12D-A40W-08	1	6
TCGA-2L-AAQA-01A-21D-A38G-08	16	43
TCGA-2L-AAQE-01A-11D-A397-08	0	36
TCGA-2L-AAQI-01A-12D-A397-08	7	28
TCGA-2L-AAQJ-01A-12D-A397-08	5	81
TCGA-2L-AAQL-01A-11D-A38G-08	11	50
TCGA-2L-AAQM-01A-11D-A397-08	18	12
TCGA-3A-A9I5-01A-11D-A38G-08	10	16
TCGA-3A-A9I7-01A-21D-A38G-08	7	7
TCGA-3A-A9I9-01A-11D-A38G-08	26	79
TCGA-3A-A9IB-01A-21D-A397-08	14	25
TCGA-3A-A9IC-01A-11D-A38G-08	7	29
TCGA-3A-A9IH-01A-12D-A397-08	10	42
TCGA-3A-A9IJ-01A-11D-A397-08	16	3
TCGA-3A-A9IL-01A-11D-A38G-08	1	4
TCGA-3A-A9IN-01A-11D-A397-08	2	23
TCGA-3A-A9IO-01A-11D-A38G-08	8	0
TCGA-3A-A9IR-01A-11D-A38G-08	9	8
TCGA-3A-A9IS-01A-21D-A397-08	14	18
TCGA-3A-A9IU-01A-11D-A397-08	6	29
TCGA-3A-A9IV-01A-11D-A40W-08	18	27
TCGA-3A-A9IX-01A-11D-A40W-08	0	14
TCGA-3A-A9IZ-01A-12D-A40W-08	8	50
